feature,mean_abs_shap
V3_EXT_SOURCE_MEAN,0.128992
V3_ANNUITY_CREDIT_RATIO,0.086301
ORGANIZATION_TYPE,0.076106
V3_EXT_SOURCE_2_x_EXT_SOURCE_3,0.075989
V3_EXT_SOURCE_MAX,0.073533
EXT_SOURCE_2,0.06853
V3_EXT_SOURCE_MIN,0.058191
AMT_ANNUITY,0.057978
EXT_SOURCE_3,0.056979
OWN_CAR_AGE,0.053571
V3_FREQ_CODE_GENDER,0.049668
V3_EXT_SOURCE_1_x_EXT_SOURCE_2,0.046739
APP_GOODS_CREDIT_RATIO,0.046129
V3_GOODS_CREDIT_RATIO,0.042309
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_std,0.041713
V3_PREV_CAT_NAME_YIELD_GROUP_low_action_rate,0.039036
EXT_SOURCE_1,0.037175
V3_POS_RECENT3_CNT_INSTALMENT_FUTURE_max,0.036567
V3_BUR_RECENT3_BUR_DEBT_CREDIT_RATIO_max,0.034704
V3_TE_CODE_GENDER,0.034471
V3_TE_OCCUPATION_TYPE,0.03211
CODE_GENDER,0.03078
NAME_EDUCATION_TYPE,0.029747
V3_BUR_ALL_BUR_DEBT_CREDIT_RATIO_max,0.02956
V3_EXT_SOURCE_1_x_EXT_SOURCE_3,0.029545
APP_ID_PUBLISH_YEARS,0.029129
V3_INST_LATE_RECENCY_WEIGHTED,0.028525
AMT_GOODS_PRICE,0.028429
V3_PREV_CAT_NAME_YIELD_GROUP_high_rate,0.028181
FLAG_DOCUMENT_3,0.028079
V3_ANNUITY_INCOME_RATIO,0.02738
APP_ANNUITY_INCOME_RATIO,0.026126
FLAG_WORK_PHONE,0.025823
DAYS_ID_PUBLISH,0.02542
V3_POS_RECENT3_CNT_INSTALMENT_FUTURE_mean,0.0252
APP_AGE_YEARS,0.025141
BUREAU_DEBT_CREDIT_RATIO_MAX,0.02502
V3_TE_NAME_FAMILY_STATUS,0.024964
OCCUPATION_TYPE,0.024367
V3_INST_ALL_AMT_PAYMENT_sum,0.024037
