"dashboard_group","diagnostic_column","source_master_columns","role","note"
"ID / Target","TARGET","TARGET","Biến mục tiêu: 1 = khó khăn thanh toán, 0 = không khó khăn","Không phải biến giải thích"
"ID / Target","SK_ID_CURR","SK_ID_CURR","Mã khách hàng/hồ sơ để trace","Không dùng làm predictor"
"Customer Profile","DIAG_AGE_GROUP","APP_AGE_YEARS","Nhóm tuổi để kiểm tra default rate theo tuổi","Từ dashboard Customer Profile"
"Customer Profile","DIAG_NAME_CONTRACT_TYPE","NAME_CONTRACT_TYPE","Loại hợp đồng Cash/Revolving","Profile/control variable"
"Customer Profile","DIAG_CODE_GENDER","CODE_GENDER","Giới tính, dùng kiểm soát/monitoring","Không nên dùng làm rule từ chối"
"Customer Profile","DIAG_NAME_INCOME_TYPE","NAME_INCOME_TYPE","Loại thu nhập/nghề nghiệp kinh tế","Profile/control variable"
"Customer Profile","DIAG_NAME_EDUCATION_TYPE","NAME_EDUCATION_TYPE","Trình độ học vấn","Profile/control variable"
"Customer Profile","DIAG_NAME_FAMILY_STATUS","NAME_FAMILY_STATUS","Tình trạng gia đình","Profile/control variable"
"Customer Profile","DIAG_OCCUPATION_GROUP","OCCUPATION_TYPE","Nhóm nghề nghiệp top groups/Other/Unknown","Dùng giải thích/monitoring, cẩn trọng fairness"
"Loan & Affordability","DIAG_CREDIT_INCOME_GROUP","APP_CREDIT_INCOME_RATIO","Nhóm khoản vay / thu nhập","Dashboard affordability"
"Loan & Affordability","DIAG_ANNUITY_INCOME_GROUP","APP_ANNUITY_INCOME_RATIO","Nhóm trả góp / thu nhập","Dashboard affordability"
"Credit History / Bureau","DIAG_BUREAU_ACTIVE_LOAN_GROUP","HAS_BUREAU_HISTORY; BUREAU_ACTIVE_COUNT","Nhóm số khoản vay ngoài đang active","Dashboard credit history"
"Credit History / Bureau","DIAG_BUREAU_OVERDUE_GROUP","HAS_BUREAU_HISTORY; BUREAU_OVERDUE_LOAN_COUNT","Nhóm có/không khoản overdue ngoài","Dashboard credit history"
"Credit History / Bureau","DIAG_BUREAU_DEBT_CREDIT_GROUP","HAS_BUREAU_HISTORY; BUREAU_DEBT_TO_CREDIT_SUM_RATIO","Nhóm tỷ lệ dư nợ / hạn mức/gốc vay bureau","Dashboard credit history"
"Previous Application","DIAG_PREVIOUS_REFUSAL_GROUP","HAS_PREVIOUS_APPLICATION; PREV_REFUSAL_RATE","Nhóm tỷ lệ đơn vay cũ bị từ chối","Dashboard previous application/credit history"
"Payment Behavior","DIAG_LATE_PAYMENT_GROUP","HAS_INSTALLMENT_HISTORY; INST_LATE_PAYMENT_RATE","Nhóm tỷ lệ trả trễ","Dashboard payment behavior"
"Payment Behavior","DIAG_UNDERPAYMENT_GROUP","HAS_INSTALLMENT_HISTORY; INST_UNDERPAYMENT_RATE","Nhóm tỷ lệ trả thiếu","Dashboard payment behavior"
"Payment Behavior","DIAG_PAYMENT_RATIO_GROUP","HAS_INSTALLMENT_HISTORY; INST_PAYMENT_RATIO_MEAN","Nhóm tỷ lệ tiền đã trả / tiền phải trả","Dashboard payment behavior"
"Credit Card Behavior","DIAG_CC_UTILIZATION_GROUP","HAS_CREDIT_CARD_HISTORY; CC_UTILIZATION_MEAN","Nhóm mức sử dụng hạn mức thẻ","Dashboard credit card behavior"
"POS/CASH Behavior","DIAG_POS_DPD_GROUP","HAS_POS_CASH_HISTORY; POS_DPD_MONTH_COUNT","Nhóm có/không tháng DPD POS/CASH","Bổ sung hành vi trả nợ POS/CASH"
"Composite Risk Signal","DIAG_AFFORDABILITY_SIGNAL_SCORE","APP_CREDIT_INCOME_RATIO; APP_ANNUITY_INCOME_RATIO","Điểm tín hiệu affordability","Tổng hợp từ loan & affordability"
"Composite Risk Signal","DIAG_CREDIT_HISTORY_SIGNAL_SCORE","HAS_BUREAU_HISTORY; BUREAU_ACTIVE_COUNT; BUREAU_OVERDUE_LOAN_COUNT; BUREAU_DEBT_TO_CREDIT_SUM_RATIO; PREV_REFUSAL_RATE","Điểm tín hiệu lịch sử tín dụng","Tổng hợp bureau + previous application"
"Composite Risk Signal","DIAG_PAYMENT_BEHAVIOR_SIGNAL_SCORE","INST_LATE_PAYMENT_RATE; INST_UNDERPAYMENT_RATE; INST_PAYMENT_RATIO_MEAN; CC_UTILIZATION_MEAN; POS_DPD_MONTH_COUNT","Điểm tín hiệu hành vi thanh toán","Tổng hợp installment + card + POS/CASH"
"Composite Risk Signal","DIAG_RISK_SIGNAL_SCORE","DIAG_AFFORDABILITY_SIGNAL_SCORE; DIAG_CREDIT_HISTORY_SIGNAL_SCORE; DIAG_PAYMENT_BEHAVIOR_SIGNAL_SCORE","Tổng điểm rủi ro diagnostic","Dùng để phân Low/Medium/High/Very high signal"
"Composite Risk Signal","DIAG_RISK_SIGNAL_GROUP","DIAG_RISK_SIGNAL_SCORE","Nhóm tín hiệu rủi ro tổng hợp","Biến mạnh nhất trong categorical test"
"Interaction / Risk Segmentation","DIAG_INT_AFFORDABILITY_LATE","DIAG_CREDIT_INCOME_GROUP; DIAG_LATE_PAYMENT_GROUP","Tương tác affordability x late payment","Tương ứng heatmap credit-income x late payment"
"Interaction / Risk Segmentation","DIAG_INT_REFUSAL_OVERDUE","DIAG_PREVIOUS_REFUSAL_GROUP; DIAG_BUREAU_OVERDUE_GROUP","Tương tác refusal x overdue","Tương ứng heatmap refusal/history x overdue"
"Interaction / Risk Segmentation","DIAG_INT_PAYMENT_CC","DIAG_PAYMENT_RATIO_GROUP; DIAG_CC_UTILIZATION_GROUP","Tương tác payment ratio x credit card utilization","Cross-risk segmentation"
