variable,count,missing_count,missing_pct,mean,std_error,median,mode,std,variance,skewness,kurtosis,range,min,p25,p75,p90,p95,p99,max,sum,ci95_mean,q1_p25,q2_p50_median,p50,q3_p75,iqr_q3_minus_q1
AMT_INCOME_TOTAL,307511,0,0.0,168797.9192969845,427.6058331868797,147150.0,135000.0,237123.1462788562,56227386501.18384,391.55965410418776,191786.55438080415,116974350.0,25650.0,112500.0,202500.0,270000.0,337500.0,472500.0,117000000.0,51907216960.935,838.1074330462841,112500.0,147150.0,147150.0,202500.0,90000.0
AMT_CREDIT,307511,0,0.0,599025.9997057016,725.8144417708984,513531.0,450000.0,402490.7769958549,161998825566.72702,1.2347784971349396,1.934041300832492,4005000.0,45000.0,270000.0,808650.0,1133748.0,1350000.0,1854000.0,4050000.0,184207084195.5,1422.5963058709608,270000.0,513531.0,513531.0,808650.0,538650.0
AMT_ANNUITY,307499,12,0.003902299429939,27108.573909183444,26.137168159271933,24903.0,9000.0,14493.737315118336,210068421.3596536,1.5797773638612502,7.707319914804307,256410.0,1615.5,16524.0,34596.0,45954.0,53325.0,70006.5,258025.5,8335859368.5,51.22884959217299,16524.0,24903.0,24903.0,34596.0,18072.0
AMT_GOODS_PRICE,307233,278,0.0904032701269222,538396.2074288895,666.5267431974869,450000.0,450000.0,369446.4605400576,136490687205.5763,1.349000341474745,2.4319164792167,4009500.0,40500.0,238500.0,679500.0,1093500.0,1305000.0,1800000.0,4050000.0,165413081997.0,1306.3924166670745,238500.0,450000.0,450000.0,679500.0,441000.0
AGE_YEARS,307511,0,0.0,43.906899566990106,0.021545821532137,43.1211498973306,37.64271047227926,11.947949710569638,142.75350228630109,0.1156733117016622,-1.0491257699460348,48.56947296372347,20.503764544832308,33.98494182067078,53.88637919233402,60.72826830937714,63.52908966461328,66.85557837097878,69.07323750855578,13501854.592744697,0.0422298102029886,33.98494182067078,43.1211498973306,43.1211498973306,53.88637919233402,19.901437371663242
EMPLOYED_YEARS,252137,55374,18.00716071945394,6.527499862048478,0.0127497857915901,4.511978097193703,0.5475701574264202,6.402081210238658,40.98664382249088,1.968315531070476,4.752651548074537,49.0403832991102,-0.0,2.099931553730322,8.692676249144421,14.600958247775496,19.96167008898015,31.04251882272408,49.0403832991102,1645824.232717317,0.0249895801515167,2.099931553730322,4.511978097193703,4.511978097193703,8.692676249144421,6.592744695414099
CREDIT_INCOME_RATIO,307511,0,0.0,3.957570238062716,0.004850405706215,3.265066666666667,2.0,2.6897281854524797,7.234637711617487,1.835956321784072,8.371772179921315,84.73203448987854,0.0048076153846153,2.018666666666667,5.15988,7.4875,9.156738636363636,13.027280298009485,84.73684210526316,1216996.3814769038,0.0095067951841815,2.018666666666667,3.265066666666667,3.265066666666667,5.15988,3.1412133333333334
ANNUITY_INCOME_RATIO,307499,12,0.003902299429939,0.1809300109358666,0.0001705489266729,0.1628333333333333,0.1,0.0945738010908365,0.0089442038527691,1.5120039702988914,5.451505152010274,1.8757410276653173,0.0002238846153846,0.1147818181818181,0.2290666666666666,0.3016420000000001,0.3546666666666667,0.4834584545454582,1.8759649122807016,55635.797432768064,0.0003342758962789,0.1147818181818181,0.1628333333333333,0.1628333333333333,0.2290666666666666,0.11428484848484852
EXT_SOURCE_1,134133,173378,56.381072546998325,0.5021298056566624,0.0005762922019978,0.5059979305057544,0.3563226644129184,0.2110622492739249,0.0445472730685684,-0.0687550587017625,-0.9651552847611132,0.9481246381488604,0.0145681324124455,0.3340072886740926,0.6750525982300696,0.7866638272940973,0.8322601465728647,0.8894105328176929,0.962692770561306,67352.1772221451,0.0011295327159157,0.3340072886740926,0.5059979305057544,0.5059979305057544,0.6750525982300696,0.341045309555977
EXT_SOURCE_2,306851,660,0.21462646864665,0.5143926741308464,0.0003449104512142,0.5659614260608526,0.2858978721410488,0.1910601549849365,0.0365039828228679,-0.793576044963703,-0.269130829902604,0.854999584668536,8.173616518884397e-08,0.3924574161782719,0.6636170897493769,0.7220467277920761,0.7477341421710526,0.7827928199705348,0.8549996664047012,157841.90644972437,0.00067602448438,0.3924574161782719,0.5659614260608526,0.5659614260608526,0.6636170897493769,0.27115967357110504
EXT_SOURCE_3,246546,60965,19.825307062186397,0.5108529061799657,0.0003924089179438,0.5352762504724826,0.746300213050371,0.1948443644637488,0.0379643263632821,-0.4093904596160251,-0.6634630539622126,0.8954822842561297,0.0005272652387098,0.3706496323299817,0.6690566947824041,0.7490217048463391,0.7862666146611379,0.8327850252992314,0.8960095494948396,125948.74060704582,0.0007691214791698,0.3706496323299817,0.5352762504724826,0.5352762504724826,0.6690566947824041,0.29840706245242243
DAYS_EMPLOYED_ANOM,307511,0,0.0,0.1800716071945393,0.000692916593352,0.0,0.0,0.3842477112623056,0.1476463036103202,1.66523034075399,0.7729971151690189,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,55374.0,0.00135811652297,0.0,0.0,0.0,0.0,0.0
