rank,feature,n_used,coverage_pct,pearson_corr,spearman_corr,abs_spearman,direction,strength_spearman
1,EXT_SOURCE_3,246546,80.17,-0.17892,-0.16633,0.16633,giảm rủi ro (corr<0),yếu
2,EXT_SOURCE_1,134133,43.62,-0.15532,-0.15113,0.15113,giảm rủi ro (corr<0),yếu
3,EXT_SOURCE_2,306851,99.79,-0.16047,-0.14733,0.14733,giảm rủi ro (corr<0),yếu
4,CC_UTILIZATION_MEAN,86036,27.98,0.13556,0.12714,0.12714,tăng rủi ro (corr>0),yếu
5,CC_UTILIZATION_GT_1_MONTH_RATE,86905,28.26,0.1517,0.127,0.127,tăng rủi ro (corr>0),yếu
6,CC_DRAWINGS_CURRENT_MEAN,86905,28.26,0.05873,0.10606,0.10606,tăng rủi ro (corr>0),yếu
7,CC_UTILIZATION_MAX,86036,27.98,0.09701,0.10584,0.10584,tăng rủi ro (corr>0),yếu
8,CC_AMT_BALANCE_MEAN,86905,28.26,0.08718,0.10404,0.10404,tăng rủi ro (corr>0),yếu
9,BUREAU_DEBT_CREDIT_RATIO_MAX,254877,82.88,-0.00047,0.10385,0.10385,tăng rủi ro (corr>0),yếu
10,CC_TOTAL_RECEIVABLE_MEAN,86905,28.26,0.08649,0.10312,0.10312,tăng rủi ro (corr>0),yếu
11,BUREAU_DEBT_CREDIT_RATIO_MEAN,254877,82.88,0.00088,0.10186,0.10186,tăng rủi ro (corr>0),yếu
12,CC_AMT_BALANCE_MAX,86905,28.26,0.0688,0.08128,0.08128,tăng rủi ro (corr>0),rất yếu
13,DAYS_EMPLOYED,252137,81.99,0.07496,0.08027,0.08027,tăng rủi ro (corr>0),rất yếu
14,APP_EMPLOYED_YEARS,252137,81.99,-0.07496,-0.08027,0.08027,giảm rủi ro (corr<0),rất yếu
15,CC_TOTAL_RECEIVABLE_MAX,86905,28.26,0.06808,0.07998,0.07998,tăng rủi ro (corr>0),rất yếu
16,DAYS_BIRTH,307511,100.0,0.07824,0.07833,0.07833,tăng rủi ro (corr>0),rất yếu
17,APP_AGE_YEARS,307511,100.0,-0.07824,-0.07833,0.07833,giảm rủi ro (corr<0),rất yếu
18,BUREAU_ACTIVE_RATE,263491,85.69,0.07736,0.07813,0.07813,tăng rủi ro (corr>0),rất yếu
19,BUREAU_DAYS_CREDIT_RECENT,263491,85.69,0.04978,0.07427,0.07427,tăng rủi ro (corr>0),rất yếu
20,BUREAU_DAYS_CREDIT_OLDEST,263491,85.69,0.07525,0.07248,0.07248,tăng rủi ro (corr>0),rất yếu
21,BB_MONTHS_BALANCE_MIN,92231,29.99,0.07322,0.07102,0.07102,tăng rủi ro (corr>0),rất yếu
22,PREV_CREDIT_APPLICATION_RATIO_MEAN,290042,94.32,0.065,0.0693,0.0693,tăng rủi ro (corr>0),rất yếu
23,PREV_REFUSAL_RATE,291057,94.65,0.07767,0.06748,0.06748,tăng rủi ro (corr>0),rất yếu
24,APP_GOODS_CREDIT_RATIO,307233,99.91,-0.06541,-0.06681,0.06681,giảm rủi ro (corr<0),rất yếu
