feature,EXT_SOURCE_3,EXT_SOURCE_1,EXT_SOURCE_2,BUREAU_DEBT_CREDIT_RATIO_MAX,BUREAU_DEBT_CREDIT_RATIO_MEAN,DAYS_EMPLOYED,APP_EMPLOYED_YEARS,DAYS_BIRTH,APP_AGE_YEARS,BUREAU_ACTIVE_RATE,BUREAU_DAYS_CREDIT_RECENT,BUREAU_DAYS_CREDIT_OLDEST,PREV_CREDIT_APPLICATION_RATIO_MEAN,PREV_REFUSAL_RATE,APP_GOODS_CREDIT_RATIO,INST_LATE_PAYMENT_RATE,PREV_REFUSED_COUNT,REGION_RATING_CLIENT_W_CITY,INST_TOTAL_PAYMENT_RATIO,INST_DAYS_LATE_POSITIVE_MEAN,REGION_RATING_CLIENT,PREV_APPROVAL_RATE,INST_PAYMENT_RATIO_MEAN,INST_UNDERPAYMENT_RATE,POS_MONTHS_BALANCE_OLDEST,TARGET
EXT_SOURCE_3,1.0,0.1811,0.1062,-0.4526,-0.4376,-0.1355,0.1355,-0.2052,0.2052,-0.3846,-0.4416,-0.2158,-0.0847,-0.191,0.023,-0.1112,-0.1893,-0.0138,0.09,-0.0976,-0.0152,0.1868,0.091,-0.1065,-0.1121,-0.1663
EXT_SOURCE_1,0.1811,1.0,0.2208,-0.0672,-0.0973,-0.2327,0.2327,-0.6002,0.6002,-0.0872,-0.0845,-0.2136,-0.0514,-0.0407,0.0483,-0.0233,-0.0328,-0.1138,0.0527,-0.0181,-0.1132,0.0248,0.0527,-0.0221,-0.1122,-0.1511
EXT_SOURCE_2,0.1062,0.2208,1.0,-0.042,-0.0535,-0.1098,0.1098,-0.1022,0.1022,-0.0349,-0.0711,-0.097,-0.0744,-0.0356,0.0595,-0.0357,-0.038,-0.3171,0.0404,-0.0349,-0.3227,0.0206,0.0393,-0.0296,-0.0557,-0.1473
BUREAU_DEBT_CREDIT_RATIO_MAX,-0.4526,-0.0672,-0.042,1.0,0.8018,0.0007,-0.0007,0.0851,-0.0851,0.4568,0.5459,0.0182,0.0793,0.1177,-0.0331,0.0532,0.1238,0.0307,-0.0476,0.0471,0.0315,-0.086,-0.0476,0.0487,0.0121,0.1038
BUREAU_DEBT_CREDIT_RATIO_MEAN,-0.4376,-0.0973,-0.0535,0.8018,1.0,0.0578,-0.0578,0.1031,-0.1031,0.7081,0.433,0.2647,0.0831,0.0716,-0.0407,0.0326,0.0692,0.0172,-0.0398,0.0235,0.0205,-0.048,-0.038,0.0294,0.0876,0.1019
DAYS_EMPLOYED,-0.1355,-0.2327,-0.1098,0.0007,0.0578,1.0,-1.0,0.3074,-0.3074,0.0799,0.0383,0.2149,0.0181,0.0136,-0.0102,-0.0231,-0.0058,-0.0086,0.0011,-0.0317,-0.0106,-0.0252,0.0014,-0.017,0.1726,0.0803
APP_EMPLOYED_YEARS,0.1355,0.2327,0.1098,-0.0007,-0.0578,-1.0,1.0,-0.3074,0.3074,-0.0799,-0.0383,-0.2149,-0.0181,-0.0136,0.0102,0.0231,0.0058,0.0086,-0.0011,0.0317,0.0106,0.0252,-0.0014,0.017,-0.1726,-0.0803
DAYS_BIRTH,-0.2052,-0.6002,-0.1022,0.0851,0.1031,0.3074,-0.3074,1.0,-1.0,0.1086,0.0828,0.2219,-0.0388,0.0141,0.0298,0.0073,-0.0033,0.0092,-0.0362,-0.0093,0.0104,0.0131,-0.0379,0.0075,0.1244,0.0783
APP_AGE_YEARS,0.2052,0.6002,0.1022,-0.0851,-0.1031,-0.3074,0.3074,-1.0,1.0,-0.1086,-0.0828,-0.2219,0.0388,-0.0141,-0.0298,-0.0073,0.0033,-0.0092,0.0362,0.0093,-0.0104,-0.0131,0.0379,-0.0075,-0.1244,-0.0783
BUREAU_ACTIVE_RATE,-0.3846,-0.0872,-0.0349,0.4568,0.7081,0.0799,-0.0799,0.1086,-0.1086,1.0,0.3346,0.3558,0.0575,0.0346,-0.0303,0.0148,0.0236,-0.0167,-0.03,0.0061,-0.0125,-0.016,-0.028,0.0133,0.1141,0.0781
BUREAU_DAYS_CREDIT_RECENT,-0.4416,-0.0845,-0.0711,0.5459,0.433,0.0383,-0.0383,0.0828,-0.0828,0.3346,1.0,0.1252,0.03,0.0835,-0.0062,-0.002,0.0922,0.0522,-0.0029,-0.0048,0.0507,-0.0794,-0.0049,0.0009,0.0462,0.0743
BUREAU_DAYS_CREDIT_OLDEST,-0.2158,-0.2136,-0.097,0.0182,0.2647,0.2149,-0.2149,0.2219,-0.2219,0.3558,0.1252,1.0,0.0421,-0.0242,-0.0044,-0.0515,-0.0389,-0.0057,0.017,-0.0639,-0.0032,0.0052,0.0194,-0.0406,0.2582,0.0725
PREV_CREDIT_APPLICATION_RATIO_MEAN,-0.0847,-0.0514,-0.0744,0.0793,0.0831,0.0181,-0.0181,-0.0388,0.0388,0.0575,0.03,0.0421,1.0,0.1428,-0.0971,0.0853,0.1631,0.0575,-0.0272,0.0714,0.0562,-0.1889,-0.0286,0.0915,0.1089,0.0693
PREV_REFUSAL_RATE,-0.191,-0.0407,-0.0356,0.1177,0.0716,0.0136,-0.0136,0.0141,-0.0141,0.0346,0.0835,-0.0242,0.1428,1.0,-0.0219,0.1218,0.9767,0.0023,-0.0653,0.1275,0.0029,-0.6885,-0.0662,0.1216,-0.1159,0.0675
