feature,category,customers,defaults,default_rate_pct,reliable
CODE_GENDER,M,105059,10655.0,10.142,True
CODE_GENDER,F,202448,14170.0,6.999,True
CODE_GENDER,Missing,4,0.0,0.0,False
EMERGENCYSTATE_MODE,Yes,2328,223.0,9.579,True
EMERGENCYSTATE_MODE,Missing,145755,13498.0,9.261,True
EMERGENCYSTATE_MODE,No,159428,11104.0,6.965,True
FLAG_OWN_CAR,N,202924,17249.0,8.5,True
FLAG_OWN_CAR,Y,104587,7576.0,7.244,True
FLAG_OWN_REALTY,N,94199,7842.0,8.325,True
FLAG_OWN_REALTY,Y,213312,16983.0,7.962,True
FONDKAPREMONT_MODE,Missing,210295,18125.0,8.619,True
FONDKAPREMONT_MODE,not specified,5687,429.0,7.544,True
FONDKAPREMONT_MODE,reg oper account,73830,5152.0,6.978,True
FONDKAPREMONT_MODE,reg oper spec account,12080,792.0,6.556,True
FONDKAPREMONT_MODE,org spec account,5619,327.0,5.82,True
HOUSETYPE_MODE,specific housing,1499,152.0,10.14,True
HOUSETYPE_MODE,Missing,154297,14120.0,9.151,True
HOUSETYPE_MODE,terraced house,1212,103.0,8.498,True
HOUSETYPE_MODE,block of flats,150503,10450.0,6.943,True
NAME_CONTRACT_TYPE,Cash loans,278232,23221.0,8.346,True
NAME_CONTRACT_TYPE,Revolving loans,29279,1604.0,5.478,True
NAME_EDUCATION_TYPE,Lower secondary,3816,417.0,10.928,True
NAME_EDUCATION_TYPE,Secondary / secondary special,218391,19524.0,8.94,True
NAME_EDUCATION_TYPE,Incomplete higher,10277,872.0,8.485,True
NAME_EDUCATION_TYPE,Higher education,74863,4009.0,5.355,True
NAME_EDUCATION_TYPE,Academic degree,164,3.0,1.829,True
NAME_FAMILY_STATUS,Civil marriage,29775,2961.0,9.945,True
NAME_FAMILY_STATUS,Single / not married,45444,4457.0,9.808,True
NAME_FAMILY_STATUS,Separated,19770,1620.0,8.194,True
NAME_FAMILY_STATUS,Married,196432,14850.0,7.56,True
NAME_FAMILY_STATUS,Widow,16088,937.0,5.824,True
NAME_FAMILY_STATUS,Unknown,2,0.0,0.0,False
NAME_HOUSING_TYPE,Rented apartment,4881,601.0,12.313,True
NAME_HOUSING_TYPE,With parents,14840,1736.0,11.698,True
NAME_HOUSING_TYPE,Municipal apartment,11183,955.0,8.54,True
NAME_HOUSING_TYPE,Co-op apartment,1122,89.0,7.932,True
NAME_HOUSING_TYPE,House / apartment,272868,21272.0,7.796,True
NAME_HOUSING_TYPE,Office apartment,2617,172.0,6.572,True
NAME_INCOME_TYPE,Maternity leave,5,2.0,40.0,False
NAME_INCOME_TYPE,Unemployed,22,8.0,36.364,False
NAME_INCOME_TYPE,Working,158774,15224.0,9.588,True
NAME_INCOME_TYPE,Commercial associate,71617,5360.0,7.484,True
NAME_INCOME_TYPE,State servant,21703,1249.0,5.755,True
NAME_INCOME_TYPE,Pensioner,55362,2982.0,5.386,True
NAME_INCOME_TYPE,Businessman,10,0.0,0.0,False
NAME_INCOME_TYPE,Student,18,0.0,0.0,False
NAME_TYPE_SUITE,Other_B,1770,174.0,9.831,True
NAME_TYPE_SUITE,Other_A,866,76.0,8.776,True
NAME_TYPE_SUITE,Group of people,271,23.0,8.487,True
NAME_TYPE_SUITE,Unaccompanied,248526,20337.0,8.183,True
NAME_TYPE_SUITE,"Spouse, partner",11370,895.0,7.872,True
NAME_TYPE_SUITE,Family,40149,3009.0,7.495,True
NAME_TYPE_SUITE,Children,3267,241.0,7.377,True
NAME_TYPE_SUITE,Missing,1292,70.0,5.418,True
OCCUPATION_TYPE,Low-skill Laborers,2093,359.0,17.152,True
OCCUPATION_TYPE,Drivers,18603,2107.0,11.326,True
OCCUPATION_TYPE,Waiters/barmen staff,1348,152.0,11.276,True
OCCUPATION_TYPE,Security staff,6721,722.0,10.742,True
OCCUPATION_TYPE,Laborers,55186,5838.0,10.579,True
OCCUPATION_TYPE,Cooking staff,5946,621.0,10.444,True
OCCUPATION_TYPE,Sales staff,32102,3092.0,9.632,True
OCCUPATION_TYPE,Cleaning staff,4653,447.0,9.607,True
OCCUPATION_TYPE,Realty agents,751,59.0,7.856,True
OCCUPATION_TYPE,Secretaries,1305,92.0,7.05,True
OCCUPATION_TYPE,Medicine staff,8537,572.0,6.7,True
OCCUPATION_TYPE,Private service staff,2652,175.0,6.599,True
OCCUPATION_TYPE,Missing,96391,6278.0,6.513,True
OCCUPATION_TYPE,IT staff,526,34.0,6.464,True
OCCUPATION_TYPE,HR staff,563,36.0,6.394,True
OCCUPATION_TYPE,Core staff,27570,1738.0,6.304,True
OCCUPATION_TYPE,Managers,21371,1328.0,6.214,True
OCCUPATION_TYPE,High skill tech staff,11380,701.0,6.16,True
OCCUPATION_TYPE,Accountants,9813,474.0,4.83,True
ORGANIZATION_TYPE,Transport: type 3,1187,187.0,15.754,True
ORGANIZATION_TYPE,Industry: type 13,67,9.0,13.433,False
ORGANIZATION_TYPE,Industry: type 8,24,3.0,12.5,False
ORGANIZATION_TYPE,Restaurant,1811,212.0,11.706,True
ORGANIZATION_TYPE,Construction,6721,785.0,11.68,True
ORGANIZATION_TYPE,Cleaning,260,29.0,11.154,True
ORGANIZATION_TYPE,Industry: type 1,1039,115.0,11.068,True
ORGANIZATION_TYPE,Industry: type 3,3278,348.0,10.616,True
ORGANIZATION_TYPE,Realtor,396,42.0,10.606,True
ORGANIZATION_TYPE,Agriculture,2454,257.0,10.473,True
ORGANIZATION_TYPE,Trade: type 3,3492,361.0,10.338,True
ORGANIZATION_TYPE,Self-employed,38412,3908.0,10.174,True
ORGANIZATION_TYPE,Industry: type 4,877,89.0,10.148,True
ORGANIZATION_TYPE,Security,3247,324.0,9.978,True
ORGANIZATION_TYPE,Trade: type 7,7831,740.0,9.45,True
ORGANIZATION_TYPE,Business Entity Type 3,67992,6323.0,9.3,True
ORGANIZATION_TYPE,Transport: type 4,5398,501.0,9.281,True
ORGANIZATION_TYPE,Mobile,317,29.0,9.148,True
ORGANIZATION_TYPE,Trade: type 1,348,31.0,8.908,True
ORGANIZATION_TYPE,Industry: type 11,2704,234.0,8.654,True
ORGANIZATION_TYPE,Business Entity Type 2,10553,900.0,8.528,True
ORGANIZATION_TYPE,Postal,2157,182.0,8.438,True
ORGANIZATION_TYPE,Advertising,429,35.0,8.159,True
ORGANIZATION_TYPE,Business Entity Type 1,5984,487.0,8.138,True
ORGANIZATION_TYPE,Industry: type 7,1307,105.0,8.034,True
ORGANIZATION_TYPE,Housing,2958,235.0,7.945,True
ORGANIZATION_TYPE,Legal Services,305,24.0,7.869,True
ORGANIZATION_TYPE,Transport: type 2,2204,172.0,7.804,True
ORGANIZATION_TYPE,Other,16683,1275.0,7.643,True
ORGANIZATION_TYPE,Telecom,577,44.0,7.626,True
ORGANIZATION_TYPE,Industry: type 2,458,33.0,7.205,True
ORGANIZATION_TYPE,Emergency,560,40.0,7.143,True
ORGANIZATION_TYPE,Industry: type 6,112,8.0,7.143,True
ORGANIZATION_TYPE,Kindergarten,6880,484.0,7.035,True
ORGANIZATION_TYPE,Trade: type 2,1900,133.0,7.0,True
ORGANIZATION_TYPE,Government,10404,726.0,6.978,True
ORGANIZATION_TYPE,Industry: type 5,599,41.0,6.845,True
ORGANIZATION_TYPE,Industry: type 9,3368,225.0,6.681,True
ORGANIZATION_TYPE,Electricity,950,63.0,6.632,True
ORGANIZATION_TYPE,Services,1575,104.0,6.603,True
ORGANIZATION_TYPE,Medicine,11193,737.0,6.584,True
ORGANIZATION_TYPE,Industry: type 10,109,7.0,6.422,True
ORGANIZATION_TYPE,Hotel,966,62.0,6.418,True
ORGANIZATION_TYPE,Trade: type 5,49,3.0,6.122,False
ORGANIZATION_TYPE,School,8893,526.0,5.915,True
ORGANIZATION_TYPE,Religion,85,5.0,5.882,False
ORGANIZATION_TYPE,Insurance,597,34.0,5.695,True
