model_id,model_label,threshold_type,threshold_label,threshold,customer_count,actual_default_count,predicted_default_count,predicted_positive_rate,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,npv,f1_score,mcc,false_positive_rate,false_negative_rate,tn,fp,fn,tp,confusion_matrix
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.05,0.05,76878,6206,76878,1.0,0.08072530502874685,0.5,0.08072530502874685,1.0,0.0,,0.14939097780559435,0.0,1.0,0.0,0,70672,0,6206,"TN=0, FP=70672, FN=0, TP=6206"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.10,0.1,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.15,0.15,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.20,0.2,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.25,0.25,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.30,0.3,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.40,0.4,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,probability,prob >= 0.50,0.5,76878,6206,0,0.0,0.9192746949712531,0.5,0.0,0.0,1.0,0.9192746949712531,0.0,0.0,0.0,1.0,70672,0,6206,0,"TN=70672, FP=0, FN=6206, TP=0"
spec::00_null_baseline,00_null_baseline,top_percentile,top 5%,0.08072999093798372,76878,6206,76878,1.0,0.08072530502874685,0.5,0.08072530502874685,1.0,0.0,,0.14939097780559435,0.0,1.0,0.0,0,70672,0,6206,"TN=0, FP=70672, FN=0, TP=6206"
spec::00_null_baseline,00_null_baseline,top_percentile,top 10%,0.08072999093798372,76878,6206,76878,1.0,0.08072530502874685,0.5,0.08072530502874685,1.0,0.0,,0.14939097780559435,0.0,1.0,0.0,0,70672,0,6206,"TN=0, FP=70672, FN=0, TP=6206"
spec::00_null_baseline,00_null_baseline,top_percentile,top 20%,0.08072999093798372,76878,6206,76878,1.0,0.08072530502874685,0.5,0.08072530502874685,1.0,0.0,,0.14939097780559435,0.0,1.0,0.0,0,70672,0,6206,"TN=0, FP=70672, FN=0, TP=6206"
spec::00_null_baseline,00_null_baseline,top_percentile,top 30%,0.08072999093798372,76878,6206,76878,1.0,0.08072530502874685,0.5,0.08072530502874685,1.0,0.0,,0.14939097780559435,0.0,1.0,0.0,0,70672,0,6206,"TN=0, FP=70672, FN=0, TP=6206"
spec::01_profile_only,01_profile_only,probability,prob >= 0.05,0.05,76878,6206,64463,0.8385103670751061,0.2291032545071412,0.5436637181360127,0.0884538417386718,0.9187882694166936,0.16853916685533168,0.9594039468385018,0.16137203016881518,0.06464749014535046,0.8314608331446683,0.08121173058330648,11911,58761,504,5702,"TN=11911, FP=58761, FN=504, TP=5702"
spec::01_profile_only,01_profile_only,probability,prob >= 0.10,0.1,76878,6206,20202,0.2627799890735971,0.7259033793803169,0.5909013126852708,0.13206613206613207,0.42990654205607476,0.7518960833144668,0.9375749876490931,0.20205998182368978,0.11252083539492638,0.24810391668553317,0.5700934579439252,53138,17534,3538,2668,"TN=53138, FP=17534, FN=3538, TP=2668"
spec::01_profile_only,01_profile_only,probability,prob >= 0.15,0.15,76878,6206,3078,0.04003746195270429,0.892322901220115,0.5223073334167034,0.16341780376868095,0.08105059619722849,0.9635640706361784,0.9227235772357724,0.10835846617837139,0.06199329813845405,0.0364359293638216,0.9189494038027715,68097,2575,5703,503,"TN=68097, FP=2575, FN=5703, TP=503"
spec::01_profile_only,01_profile_only,probability,prob >= 0.20,0.2,76878,6206,33,0.0004292515414032623,0.9190015348994511,0.5002923798392391,0.18181818181818182,0.0009668063164679343,0.9996179533620104,0.9193181078794976,0.001923385157877865,0.007690281155205458,0.0003820466379895857,0.999033193683532,70645,27,6200,6,"TN=70645, FP=27, FN=6200, TP=6"
