comparison_type,display_model,status,roc_auc,pr_auc,log_loss,brier_score,pseudo_r2_vs_null_logloss,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,specificity_at_0_5,balanced_accuracy_at_0_5,mcc_at_0_5,lift_at_top_10pct_score,runtime_seconds
Specification comparison,06_full_plus_selected_interactions,ok,0.6886607617559701,0.17131868310336099,0.26306935569338585,0.07120179193146724,0.06226587919876958,0.9192746949712531,0.5,0.0012890750886239124,0.9998868009961512,0.5005879380423875,0.022206253970295554,2.565192692245395,5.91
Specification comparison,05_full_controlled_main_effects,ok,0.6883053755262951,0.1709694775373598,0.26310683090379855,0.0712147363902686,0.062132295477489774,0.9192746949712531,0.5,0.0011279407025459234,0.9999009508716323,0.5005144457870891,0.020771778304196988,2.5700265980724906,5.06
Specification comparison,07_full_balanced_sensitivity,ok,0.6882470340803057,0.17060105853676166,0.634899828460244,0.22164018279183156,-1.263156918709813,0.6471422253440516,0.1358905635420655,0.6290686432484692,0.6487293411817976,0.6388989922151334,0.15642450034793567,2.5442457669946474,5.3
Specification comparison,01_profile_only,ok,0.6330583689066889,0.12583204866497777,0.2723777473163176,0.07293598654339833,0.029085289192014585,0.9192746949712531,0.0,0.0,1.0,0.5,0.0,1.938396236665333,1.88
Specification comparison,03_credit_history_only,ok,0.6153415209477255,0.12971157115962392,0.27349906113658345,0.07297830680659781,0.025088266328527453,0.9192616873487864,0.3333333333333333,0.00016113438607798906,0.9999717002490378,0.5000664173175579,0.005792789028981909,2.0270178434954187,1.5
Specification comparison,04_payment_behavior_only,ok,0.5886098639288145,0.11540236771326134,0.2761106471525639,0.07344974122921372,0.01577903565003469,0.9192746949712531,0.0,0.0,1.0,0.5,0.0,1.8626650453741687,1.77
Specification comparison,02_affordability_only,ok,0.5373624942643527,0.08840365004953087,0.2800042888063794,0.07413342840353888,0.0018998035998702978,0.9192746949712531,0.0,0.0,1.0,0.5,0.0,1.124688755770908,0.59
Specification comparison,00_null_baseline,ok,0.5,0.08072530502874685,0.2805372544923617,0.07420873017872039,0.0,0.9192746949712531,0.0,0.0,1.0,0.5,0.0,0.9748376751309447,0.08
Algorithm comparison,Linear Probability Model â€” LPM,ok,0.688900448927258,0.17022128194423988,0.27247726092858104,0.07139390352510806,0.02873056406845287,0.9192616873487864,0.42857142857142855,0.00048340315823396714,0.9999434004980756,0.5002134018281548,0.012185052997643721,2.5539135786488387,8.09
Algorithm comparison,Binary Logistic Regression / Logit,ok,0.6886607617559701,0.17131868310336099,0.26306935569338585,0.07120179193146724,0.06226587919876958,0.9192746949712531,0.5,0.0012890750886239124,0.9998868009961512,0.5005879380423875,0.022206253970295554,2.565192692245395,5.71
Algorithm comparison,Ridge Logistic Regression,ok,0.6886589514109601,0.17130475705788462,0.26307044245699823,0.07120229252718152,0.06226200533319559,0.91928770259372,0.5333333333333333,0.0012890750886239124,0.9999009508716323,0.5005950129801281,0.02321035147470983,2.565192692245395,5.66
Algorithm comparison,Lasso Logistic Regression,ok,0.6886441061258719,0.1712840100461813,0.2631000085819162,0.07120563152731939,0.06215661425074759,0.9192356721038528,0.43478260869565216,0.0016113438607798904,0.9998160516187458,0.5007136977397628,0.022484017371353814,2.5796944097266814,100.92
Algorithm comparison,Elastic Net Logistic Regression,ok,0.6886256059502912,0.17141228652169974,0.26309577063959705,0.07120298285249843,0.06217172077314803,0.9192226644813861,0.4090909090909091,0.0014502094747019013,0.9998160516187458,0.5006331305467239,0.02039400918067877,2.5764718058419516,287.4
Algorithm comparison,Rare Events Logistic Regression proxy,ok,0.688523125374518,0.17058949627199488,0.6346823215502383,0.2215460918491419,-1.2623815959798628,0.6476495226202554,0.13592300718320663,0.6281018369320013,0.6493660855784469,0.6387339612552241,0.15629475704914325,2.549079672821743,5.82
Algorithm comparison,Complementary Log-Log â€” Cloglog,ok,0.5777508593712322,0.09901830505750159,3.626127484301889,0.2624672811997825,-11.92565399509397,0.7375321938656052,0.127968899776334,0.3872059297454077,0.7682957889970569,0.5777508593712323,0.09859435191489548,1.620969754019389,396.83
Algorithm comparison,Probit Model,ok,0.5336164560926856,0.09141553491818097,1.6049906628509523,0.11618059962638042,-4.721131996373237,0.8837899008819168,0.1727447216890595,0.11601675797615212,0.9512112293411819,0.533613993658667,0.08087583146602476,1.5903550171144505,403.12
Algorithm comparison,Null baseline,ok,0.5,0.08072530502874685,0.2805372544923617,0.07420873017872039,0.0,0.9192746949712531,0.0,0.0,1.0,0.5,0.0,0.9748376751309447,0.08
