variable,segment,customer_count,default_customers,default_rate,non_default_customers,customer_share,default_contribution_share,risk_index,risk_difference,small_sample_flag,business_priority_score
DIAG_CC_UTILIZATION_GROUP,>100%,1004,256,0.2549800796812749,748,0.0032649238563823733,0.010312185297079557,3.1584765068627805,0.17425126022440995,0,44.60832261744895
DIAG_BUREAU_DEBT_CREDIT_GROUP,>100%,1585,295,0.1861198738170347,1290,0.005154287163711217,0.011883182275931522,2.3054948043242764,0.10539105436016975,0,31.090361036250076
DIAG_PREVIOUS_REFUSAL_GROUP,>50% refusal,11158,1777,0.15925793152894785,9381,0.03628488086605032,0.07158106747230614,1.9727518945578362,0.0785291120720829,0,139.5462321520913
DIAG_RISK_SIGNAL_GROUP,4. Very high signal,26776,4031,0.15054526441589483,22745,0.0870733079467076,0.1623766364551863,1.8648267796896771,0.06981644495902987,0,281.4300896298494
DIAG_CC_UTILIZATION_GROUP,70%-100%,14715,2191,0.14889568467550118,12524,0.04785194675962811,0.088257804632427,1.8443931879253996,0.06816686521863623,0,149.35360169403197
DIAG_BUREAU_OVERDUE_GROUP,1 overdue loan,3363,482,0.14332441272673208,2881,0.010936194152404304,0.019415911379657605,1.775381006324677,0.06259559326986712,0,30.171075956075953
DIAG_LATE_PAYMENT_GROUP,Late >30%,17650,2357,0.13354107648725214,15293,0.0573963207820208,0.09494461228600201,1.654193352333188,0.05281225703038718,0,124.47848982062258
DIAG_PAYMENT_RATIO_GROUP,<80% paid,16858,2226,0.13204413334915174,14632,0.054820803158261,0.08966767371601209,1.635650493064693,0.05131531389228679,0,114.22788872423038
DIAG_UNDERPAYMENT_GROUP,Underpay >30%,26656,3289,0.12338685474189676,23367,0.08668307800371369,0.13248741188318228,1.528411483928919,0.0426580352850318,0,140.3022780524696
DIAG_CC_UTILIZATION_GROUP,Unknown,869,103,0.11852704257767549,766,0.0028259151705142256,0.004149043303121853,1.468212261434182,0.037798223120810534,0,3.893216981443485
DIAG_AGE_GROUP,1. <=30,45186,5171,0.11443810029655203,40015,0.1469410850343565,0.20829808660624372,1.4175619198506753,0.03370928083968708,0,174.3106912220219
DIAG_BUREAU_DEBT_CREDIT_GROUP,50%-100%,60615,6929,0.1143116390332426,53686,0.19711489995479836,0.27911379657603225,1.4159954252065041,0.03358281957637764,0,232.69535684472066
DIAG_PREVIOUS_REFUSAL_GROUP,25%-50% refusal,41739,4729,0.11329931239368457,37010,0.13573172992185645,0.19049345417925478,1.4034555832223299,0.032570492936819614,0,154.02586109821996
DIAG_OCCUPATION_GROUP,Drivers,18603,2107,0.11326130194054722,16496,0.06049539691263077,0.08487411883182276,1.4029847420358355,0.03253248248368226,0,68.54594059311853
DIAG_NAME_EDUCATION_TYPE,Lower secondary,3816,417,0.10927672955974843,3399,0.012409312187206312,0.016797583081570998,1.3536272460683907,0.028547910102883475,0,11.90447851290241
DIAG_OCCUPATION_GROUP,Security staff,6721,722,0.10742449040321381,5999,0.02185612872385053,0.02908358509566969,1.330683281707258,0.02669567094634885,0,19.274274423263872
DIAG_BUREAU_ACTIVE_LOAN_GROUP,>3 active,46653,5001,0.10719567873448653,41652,0.15171164608745705,0.2014501510574018,1.3278489572334617,0.026466859277621574,0,132.36076324738548
DIAG_OCCUPATION_GROUP,Laborers,55186,5838,0.10578769977892943,49348,0.1794602469505156,0.23516616314199396,1.3104081106432375,0.025058880322064478,0,146.29374332021243
DIAG_RISK_SIGNAL_GROUP,3. High signal,63147,6611,0.10469222607566472,56536,0.20534875175196984,0.2663041289023162,1.2968383135046821,0.023963406618799768,0,158.42208115688527
DIAG_BUREAU_OVERDUE_GROUP,No bureau history,44020,4457,0.10124943207632894,39563,0.14314935075493235,0.17953675730110774,1.2541919076424568,0.020520612619463988,0,91.460370444951
DIAG_BUREAU_ACTIVE_LOAN_GROUP,No bureau history,44020,4457,0.10124943207632894,39563,0.14314935075493235,0.17953675730110774,1.2541919076424568,0.020520612619463988,0,91.460370444951
DIAG_BUREAU_DEBT_CREDIT_GROUP,No bureau history,44020,4457,0.10124943207632894,39563,0.14314935075493235,0.17953675730110774,1.2541919076424568,0.020520612619463988,0,91.460370444951
DIAG_LATE_PAYMENT_GROUP,Late 10%-30%,60210,6083,0.10102972928085036,54127,0.1957978738971939,0.24503524672708962,1.2514704161483816,0.0203009098239854,0,123.49043445930319
DIAG_POS_DPD_GROUP,Has POS DPD,54683,5499,0.10056141762522174,49184,0.17782453310613278,0.22151057401812688,1.245669369399781,0.01983259816835678,0,109.05945732779394
DIAG_UNDERPAYMENT_GROUP,Underpay 10%-30%,49506,4932,0.09962428796509513,44574,0.16098936298213723,0.19867069486404834,1.234061003683157,0.01889546850823018,0,93.19245068259124
DIAG_OCCUPATION_GROUP,Other,19837,1975,0.09956142561879316,17862,0.0645082614930848,0.07955689828801611,1.2332823183669972,0.01883260616192821,0,37.19439716980821
DIAG_OCCUPATION_GROUP,Sales staff,32102,3092,0.0963179864182917,29010,0.10439301358325394,0.12455186304128903,1.1931053503111904,0.015589166961426745,0,48.201704244731495
DIAG_AGE_GROUP,2. 31-40,82349,7897,0.09589673220075533,74452,0.26779204646337856,0.3181067472306143,1.1878872111092234,0.015167912743890372,0,119.78100693850226
DIAG_NAME_INCOME_TYPE,Working,158774,15224,0.09588471664126369,143550,0.5163197414076245,0.6132527693857,1.1877383725708617,0.015155897184398734,0,230.73337873528632
DIAG_CC_UTILIZATION_GROUP,30%-70%,24183,2289,0.09465326882520779,21894,0.07864108926184754,0.09220543806646525,1.1724842436941982,0.013924449368342834,0,31.873064604136747
