variable,segment,customer_count,default_customers,default_rate,non_default_customers,customer_share,default_contribution_share,risk_index,risk_difference,small_sample_flag,business_priority_score
DIAG_AGE_GROUP,1. <=30,45186,5171,0.11443810029655203,40015,0.1469410850343565,0.20829808660624372,1.4175619198506753,0.03370928083968708,0,174.3106912220219
DIAG_AGE_GROUP,2. 31-40,82349,7897,0.09589673220075533,74452,0.26779204646337856,0.3181067472306143,1.1878872111092234,0.015167912743890372,0,119.78100693850226
DIAG_AGE_GROUP,3. 41-50,76581,5853,0.07642887922591765,70728,0.24903499387013797,0.23577039274924472,0.9467359951517085,-0.004299940230947305,0,0.0
DIAG_AGE_GROUP,4. 51-60,68109,4168,0.06119602402032037,63941,0.22148475989476799,0.16789526686807654,0.7580443320246824,-0.019532795436544584,0,0.0
DIAG_AGE_GROUP,5. 61+,35286,1736,0.04919798220257326,33550,0.11474711473735899,0.06992950654582075,0.6094227877178451,-0.0315308372542917,0,0.0
DIAG_NAME_CONTRACT_TYPE,Cash loans,278232,23221,0.08345912763449208,255011,0.9047871458256778,0.9353877139979859,1.0338207370799715,0.002730308177627122,0,63.4004861926794
DIAG_NAME_CONTRACT_TYPE,Revolving loans,29279,1604,0.05478329177909082,27675,0.09521285417432222,0.0646122860020141,0.6786088555198387,-0.02594552767777414,0,0.0
DIAG_NAME_INCOME_TYPE,Maternity leave,5,2,0.4,3,1.6259580958079547e-05,8.056394763343404e-05,4.954860020140988,0.3192711805431351,1,0.6385423610862702
DIAG_NAME_INCOME_TYPE,Unemployed,22,8,0.36363636363636365,14,7.154215621555002e-05,0.00032225579053373615,4.50441820012817,0.2829075441794987,1,2.2632603534359896
DIAG_NAME_INCOME_TYPE,Working,158774,15224,0.09588471664126369,143550,0.5163197414076245,0.6132527693857,1.1877383725708617,0.015155897184398734,0,230.73337873528632
DIAG_NAME_INCOME_TYPE,Commercial associate,71617,5360,0.07484256531270508,66257,0.2328924818949566,0.21591137965760324,0.9270860866817826,-0.005886254144159872,0,0.0
DIAG_NAME_INCOME_TYPE,State servant,21703,1249,0.05754964751416855,20454,0.07057633710664009,0.05031218529707956,0.7128761191028997,-0.023179171942696405,0,0.0
DIAG_NAME_INCOME_TYPE,Pensioner,55362,2982,0.053863660994906255,52380,0.18003258420024,0.12012084592145016,0.6672172510052212,-0.0268651584619587,0,0.0
DIAG_NAME_INCOME_TYPE,Businessman,10,0,0.0,10,3.2519161916159095e-05,0.0,0.0,-0.08072881945686496,1,0.0
DIAG_NAME_INCOME_TYPE,Student,18,0,0.0,18,5.8534491449086374e-05,0.0,0.0,-0.08072881945686496,1,0.0
DIAG_NAME_EDUCATION_TYPE,Lower secondary,3816,417,0.10927672955974843,3399,0.012409312187206312,0.016797583081570998,1.3536272460683907,0.028547910102883475,0,11.90447851290241
DIAG_NAME_EDUCATION_TYPE,Secondary / secondary special,218391,19524,0.08939928843221562,198867,0.7101892290031901,0.7864652567975831,1.1074024002045944,0.008670468975350662,0,169.2822362747463
