feature,count,missing_count,missing_pct,mean,std,min,p25,median_p50,p75,p95,max,skewness,kurtosis,sum
AMT_ANNUITY,307499,12,0.003902299429939092,27108.573909183444,14493.737315118335,1615.5,16524.0,24903.0,34596.0,53325.0,258025.5,1.5797773638612502,7.707319914804307,8335859368.5
AMT_CREDIT,307511,0,0.0,599025.9997057016,402490.7769958549,45000.0,270000.0,513531.0,808650.0,1350000.0,4050000.0,1.2347784971349396,1.934041300832492,184207084195.5
AMT_GOODS_PRICE,307233,278,0.09040327012692229,538396.2074288895,369446.46054005757,40500.0,238500.0,450000.0,679500.0,1305000.0,4050000.0,1.349000341474745,2.4319164792167,165413081997.0
AMT_INCOME_TOTAL,307511,0,0.0,168797.9192969845,237123.1462788562,25650.0,112500.0,147150.0,202500.0,337500.0,117000000.0,391.55965410418776,191786.55438080418,51907216960.935
AMT_REQ_CREDIT_BUREAU_DAY,265992,41519,13.501630835970097,0.0070002105326475985,0.11075740632435452,0.0,0.0,0.0,0.0,0.0,9.0,27.043504708921247,1151.8675941767497,1862.0
AMT_REQ_CREDIT_BUREAU_HOUR,265992,41519,13.501630835970097,0.006402448193930645,0.08384912844747723,0.0,0.0,0.0,0.0,0.0,4.0,14.534062061826713,254.24361965653017,1703.0
AMT_REQ_CREDIT_BUREAU_MON,265992,41519,13.501630835970097,0.26739526000781977,0.9160023961526176,0.0,0.0,0.0,0.0,1.0,27.0,7.804848087437465,90.43485720349301,71125.0
AMT_REQ_CREDIT_BUREAU_QRT,265992,41519,13.501630835970097,0.26547414959848414,0.7940556483207578,0.0,0.0,0.0,0.0,2.0,261.0,134.3657760491255,43707.46475219692,70614.0
AMT_REQ_CREDIT_BUREAU_WEEK,265992,41519,13.501630835970097,0.0343619356973142,0.2046848758128245,0.0,0.0,0.0,0.0,0.0,8.0,9.293572551814961,166.75223002011415,9140.0
AMT_REQ_CREDIT_BUREAU_YEAR,265992,41519,13.501630835970097,1.899974435321363,1.869294998181557,0.0,0.0,1.0,3.0,6.0,25.0,1.2435900041416597,1.9690340369684067,505378.0
APARTMENTS_AVG,151450,156061,50.74972927797705,0.11744049917464508,0.10824029130032231,0.0,0.0577,0.0876,0.1485,0.3268,1.0,2.6418357858312778,11.39376678947599,17786.363599999997
APARTMENTS_MEDI,151450,156061,50.74972927797705,0.11784992076592933,0.10907590600115313,0.0,0.0583,0.0864,0.1489,0.33,1.0,2.639255506647989,11.242189573046485,17848.370499999997
APARTMENTS_MODE,151450,156061,50.74972927797705,0.11423100693298119,0.10793603908753287,0.0,0.0525,0.084,0.1439,0.3193,1.0,2.703051653589444,11.74605562545113,17300.286
APP_AGE_YEARS,307511,0,0.0,43.906899566990106,11.947949710569638,20.503764544832308,33.98494182067078,43.1211498973306,53.88637919233402,63.52908966461328,69.07323750855578,0.11567331170166231,-1.0491257699460348,13501854.592744695
APP_ANNUITY_INCOME_RATIO,307499,12,0.003902299429939092,0.1809300109358666,0.09457380109083657,0.0002238846153846,0.1147818181818181,0.1628333333333333,0.2290666666666666,0.3546666666666667,1.8759649122807016,1.512003970298892,5.4515051520102755,55635.79743276805
APP_CHILDREN_RATIO,307509,2,0.0006503832383231819,0.12550249416609424,0.19957832971127767,0.0,0.0,0.0,0.3333333333333333,0.5,0.95,1.1378606832158447,-0.30495907950750656,38593.14647852148
APP_CREDIT_INCOME_RATIO,307511,0,0.0,3.957570238062716,2.6897281854524793,0.0048076153846153,2.018666666666667,3.265066666666667,5.15988,9.156738636363634,84.73684210526316,1.8359563217840718,8.371772179921315,1216996.3814769038
APP_EMPLOYED_YEARS,252137,55374,18.00716071945394,6.527499862048478,6.4020812102386575,-0.0,2.099931553730322,4.511978097193703,8.692676249144421,19.96167008898015,49.0403832991102,1.9683155310704767,4.752651548074541,1645824.232717317
APP_GOODS_CREDIT_RATIO,307233,278,0.09040327012692229,0.9006892906928781,0.09663036374711556,0.1666666666666666,0.8347245409015025,0.8938148015731141,1.0,1.0,6.666666666666667,2.666887216112579,120.16407399277762,276721.472847445
APP_ID_PUBLISH_YEARS,307511,0,0.0,8.197679324431038,4.132650017804307,0.0,4.709103353867215,8.908966461327857,11.770020533880905,13.535934291581109,19.704312114989733,-0.34932749320299716,-1.1068078939970987,2520876.566735113
APP_INCOME_PER_PERSON,307509,2,0.0006503832383231819,93105.8796453531,101373.36339391574,2812.5,47250.0,75000.0,112500.0,225000.0,39000000.0,187.36730878221803,70684.16521351172,28630895943.862885
APP_LAST_PHONE_CHANGE_YEARS,307510,1,0.00032519161916159093,2.6361636915320648,2.2636782670517634,-0.0,0.7501711156741958,2.0725530458590007,4.298425735797399,6.90485968514716,11.75085557837098,0.7136056678591626,-0.3085799413944885,810646.6967830253
APP_OWN_CAR_AGE_MISSING_FLAG,307511,0,0.0,0.6599081008484249,0.4737405715273083,0.0,0.0,1.0,1.0,1.0,1.0,-0.6750916027949097,-1.5442613714952158,202929.0
APP_PROPERTY_ANY_MISSING_FLAG,307511,0,0.0,0.7444026392551811,0.4361971671854253,0.0,0.0,1.0,1.0,1.0,1.0,-1.1206135537117052,-0.7442301036277716,228912.0
APP_PROPERTY_MISSING_COUNT,307511,0,0.0,10.350094793356986,7.9340292117856555,0.0,0.0,12.0,18.0,18.0,18.0,-0.24017540311271218,-1.736006163677401,3182768.0
APP_PROPERTY_MISSING_RATIO,307511,0,0.0,0.5750052662976103,0.4407794006547586,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,-0.24017540311271204,-1.7360061636774007,176820.44444444444
APP_REGISTRATION_YEARS,307511,0,0.0,13.651253463486432,9.645137086825658,-0.0,5.503080082135524,12.331279945242985,20.477754962354553,31.255304585900067,67.5482546201232,0.5908716157350025,-0.3213466019399358,4197910.603810176
BASEMENTAREA_AVG,127568,179943,58.51595552679416,0.08844221905179983,0.08243815873568511,0.0,0.0442,0.0763,0.1122,0.2237,1.0,3.5663061258664546,25.93012027277878,11282.397
BASEMENTAREA_MEDI,127568,179943,58.51595552679416,0.08795485466574689,0.08217874951463416,0.0,0.0437,0.0758,0.1116,0.2231,1.0,3.5530395271669417,25.82976082546161,11220.2249
BASEMENTAREA_MODE,127568,179943,58.51595552679416,0.08754321224758561,0.08430717486924559,0.0,0.0407,0.0746,0.1124,0.2277,1.0,3.4815328531579337,24.431186343864308,11167.712500000001
BB_BAD_STATUS_MONTH_COUNT,307511,0,0.0,0.13179365941380958,2.817279605754463,0.0,0.0,0.0,0.0,0.0,346.0,43.83413233674927,2974.3942094259073,40528.0
BB_BAD_STATUS_MONTH_RATE,92231,215280,70.0072517731073,0.002622852722414959,0.029415485877594086,0.0,0.0,0.0,0.0,0.0,1.0,17.3430956371439,364.8900323625899,241.9083294410541
BB_MAX_STATUS,92231,215280,70.0072517731073,0.49484446661100934,0.94704925619304,0.0,0.0,0.0,1.0,2.0,5.0,3.031723718629464,10.770711090104028,45640.0
BB_MONTHS_BALANCE_MAX,92231,215280,70.0072517731073,-0.9277141091390096,5.987158789207674,-92.0,0.0,0.0,0.0,0.0,0.0,-8.668126494352373,85.76023035920818,-85564.0
BB_MONTHS_BALANCE_MIN,92231,215280,70.0072517731073,-56.48894623282844,27.856323590292497,-96.0,-83.0,-57.0,-34.0,-9.0,0.0,0.25031276805613545,-1.2109104987792367,-5210032.0
BB_MONTH_COUNT,307511,0,0.0,47.80841010565476,113.73534690215818,0.0,0.0,0.0,29.0,285.0,2657.0,3.6400044458118606,18.461812319122018,14701612.0
BB_OVERDUE_MONTH_COUNT,307511,0,0.0,0.7196945800312834,4.727722083420482,0.0,0.0,0.0,0.0,3.0,396.0,20.462919255559765,802.8675791035076,221314.0
BB_OVERDUE_MONTH_RATE,92231,215280,70.0072517731073,0.01780140594436967,0.056070633587781554,0.0,0.0,0.0,0.0098522167487684,0.0923076923076923,1.0,6.93247055410135,68.37829580126916,1641.841471655159
BUREAU_ACTIVE_COUNT,307511,0,0.0,1.762275170644302,1.804891299543025,0.0,0.0,1.0,3.0,5.0,32.0,1.4482117791418772,3.3823718988405718,541919.0
BUREAU_ACTIVE_RATE,263491,44020,14.314935075493235,0.4129718863197884,0.308404377345084,0.0,0.2,0.375,0.6,1.0,1.0,0.47715903398465875,-0.6151907621685697,108814.37529828736
BUREAU_AMT_CREDIT_SUM_MAX,307511,0,0.0,836286.6146167454,1962377.2420180698,0.0,99331.6725,324000.0,900000.0,3150000.0,396000000.0,40.94150063388937,6066.263331415973,257167333147.41
BUREAU_AMT_CREDIT_SUM_MEAN,307511,0,0.0,323957.0360278919,835940.3724658655,0.0,67055.31937499999,158730.75,344459.1375,1116000.0,198072344.25,70.5031931675036,13361.520133301012,99620352105.97307
BUREAU_AMT_CREDIT_SUM_SUM,307511,0,0.0,1675834.1430586125,3858106.1081710095,0.0,153949.5,711000.0,1970993.25,6428894.175,1017957917.385,78.33505739838813,17196.51178308704,515337433166.097
BUREAU_AMT_DEBT_MEAN,256131,51380,16.708345392522546,160390.07697277027,526650.0790171248,-1083614.67,0.0,44208.035,142136.25,609958.35,43650000.0,19.609156878248704,852.6628187419855,41080870805.112625
BUREAU_AMT_DEBT_SUM,307511,0,0.0,548941.58833604,1529047.3370801236,-6981558.210000001,0.0,87583.5,534856.5,2387406.8025,334498331.20500004,40.84954077064945,7522.749676109852,168805576770.80402
BUREAU_AMT_OVERDUE_MAX,263491,44020,14.314935075493235,184.97019262517506,14388.240178809754,0.0,0.0,0.0,0.0,0.0,3756681.0,178.41957090238594,39602.4630833614,48737981.025
BUREAU_AMT_OVERDUE_SUM,307511,0,0.0,191.10711979408867,15271.025150478996,0.0,0.0,0.0,0.0,0.0,3756681.0,164.83276394742177,32899.028545571804,58767541.515
BUREAU_BAD_DEBT_COUNT,307511,0,0.0,6.503832383231819e-05,0.008064384994211388,0.0,0.0,0.0,0.0,0.0,1.0,123.98669298387009,15370.80000618326,20.0
BUREAU_CLOSED_COUNT,307511,0,0.0,2.9843908022802434,3.3595287181673896,0.0,0.0,2.0,4.0,10.0,108.0,2.186412143088367,11.990832584824318,917733.0
BUREAU_CREDIT_DAY_OVERDUE_MAX,263491,44020,14.314935075493235,4.772758841857976,89.14127391336616,0.0,0.0,0.0,0.0,0.0,2792.0,23.039512066244598,570.0889591455157,1257579.0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,263491,44020,14.314935075493235,1.0358630970436553,25.825412292572874,0.0,0.0,0.0,0.0,0.0,2776.0,52.96372916023685,4026.9061574932957,272940.6033031298
BUREAU_CREDIT_PROLONG_SUM,307511,0,0.0,0.03468168618358368,0.2292341036086618,0.0,0.0,0.0,0.0,0.0,9.0,9.096949500045792,121.5496371536013,10665.0
