SK_ID_CURR,TARGET
100002,1
100003,0
100004,0
100006,0
100007,0
100008,0
100012,0
100015,0
100018,0
100020,0
100022,0
100023,0
100024,0
100025,0
100026,0
100032,0
100034,0
100035,0
100036,0
100037,0
100040,0
100045,0
100046,0
100048,0
100050,0
100051,0
100053,0
100054,0
100056,0
100059,0
100060,0
100062,0
100064,0
100069,0
100070,0
100071,0
100073,0
100075,0
100077,0
100078,0
100079,0
100080,0
100081,0
100082,0
100083,0
100084,0
100085,0
100087,0
100088,0
100089,0
100093,0
100097,0
100098,0
100101,0
100102,0
100103,0
100104,0
100108,0
100112,1
100114,0
100116,0
100121,0
100122,0
100123,0
100124,0
100125,0
100127,0
100129,0
100130,1
100131,0
100135,0
100136,0
100138,0
100139,0
100140,0
100142,0
100143,0
100149,0
100151,0
100153,0
100156,0
100159,0
100161,0
100162,0
100163,0
100164,0
100165,0
100166,0
100167,0
100173,0
100174,0
100175,0
100176,0
100178,0
100179,0
100180,0
100181,1
100185,0
100186,0
100188,0
100190,0
100191,0
100192,1
100193,0
100194,0
100196,0
100197,0
100198,0
100200,0
100201,0
100204,0
100206,0
100207,0
100208,0
100209,1
100211,0
100214,1
100215,0
100217,0
100218,0
100219,0
100220,0
100221,0
100224,0
100225,0
100226,0
100228,0
100230,0
100231,0
100233,0
100234,0
100235,0
100236,0
100239,0
100242,0
100243,0
100244,0
100246,1
100247,0
100248,0
100249,0
100250,0
100254,0
100255,0
100259,0
100260,0
100262,0
100263,0
100264,0
100265,0
100266,0
100267,0
100268,0
100270,0
100273,1
100274,0
100275,0
100276,0
100277,0
100279,0
100281,0
100282,1
100283,0
100284,0
100285,0
100287,0
100288,0
100289,0
100290,0
100291,0
100292,0
100298,0
100299,0
100301,1
100302,0
100303,0
100304,0
100305,0
100307,0
100310,0
100313,0
100314,0
100315,0
100317,0
100319,0
100320,0
100321,0
100323,0
100324,0
100325,0
100326,1
100327,0
100328,0
100329,0
100332,0
100333,0
100334,0
100335,0
100336,1
100338,0
100339,0
100340,0
100341,0
100343,0
100347,0
100349,0
100350,0
100357,0
100359,0
100360,0
100361,0
100362,0
100363,0
100364,0
100368,0
100369,0
100370,0
100375,0
100377,0
100378,0
100379,0
100380,0
100381,0
100387,0
100388,0
100389,0
100391,0
100393,0
100395,0
100396,1
100397,0
100398,0
100401,1
100402,0
100403,0
100405,0
100407,0
100408,0
100409,0
100411,0
100412,0
100414,0
100417,0
100418,0
100419,0
100420,0
100421,0
100423,0
100424,1
100425,0
100427,0
100428,0
100429,0
100430,0
100431,0
100433,0
100436,0
100437,0
100439,1
100440,0
100441,0
100443,0
100451,0
100452,1
100453,0
100454,0
100455,0
100456,0
100457,0
100458,0
100459,0
100461,0
100462,0
100463,0
100464,0
100468,0
100469,0
100470,0
100471,0
100472,1
100474,0
100475,0
100476,0
100477,1
100479,0
100481,0
100482,0
100485,1
100487,0
100488,0
100491,0
100495,0
100496,0
100499,0
100500,0
100501,0
100502,0
100504,0
100505,0
100507,0
100508,0
100509,0
100511,0
100514,0
100516,0
100518,0
100520,0
100521,0
100522,0
100524,0
100526,0
100528,0
100529,0
100530,0
100531,0
100532,0
100533,0
100534,0
100535,0
100537,0
100539,0
100542,0
100543,0
100544,0
100545,0
100547,1
100550,0
100555,0
100556,0
100557,0
100558,0
100562,0
100564,0
100565,0
100572,0
100573,0
100574,0
100575,0
100577,0
100578,0
100579,0
100580,0
100581,0
100582,0
100584,0
100585,0
100586,0
100587,0
100589,0
100590,0
100593,0
100594,0
100595,0
100598,0
100599,0
100600,0
100603,0
100604,0
100608,0
100610,0
100612,0
100614,0
100623,0
100624,0
100626,0
100628,0
100629,0
100631,0
100633,0
100635,0
100637,0
100638,0
100640,0
100641,1
100642,0
100643,0
100644,0
100646,1
100649,1
100650,1
100651,0
100652,0
100653,0
100654,0
100655,0
100656,0
100657,0
100658,0
100660,0
100662,0
100664,0
100665,0
100666,0
100667,0
100668,0
100669,0
100672,1
100673,0
100674,0
100675,0
100680,0
100681,0
100683,0
100684,0
100685,0
100686,0
100687,0
100689,0
100690,1
100691,0
100692,0
100693,0
100694,0
100695,0
100697,0
100700,0
100701,0
100703,0
100704,0
100705,0
100706,0
100707,0
100708,0
100710,0
100714,1
100715,0
100716,0
100719,0
100720,0
100721,0
100722,0
100723,0
100724,0
100726,0
100727,0
100728,0
100730,0
100734,0
100735,0
100736,0
100737,0
100739,0
100741,0
100742,0
100743,0
100748,0
100749,0
100750,0
100755,0
100757,0
100758,0
100759,0
100764,0
100766,0
100767,0
100768,0
100769,0
100773,0
100774,0
100775,0
100776,0
100778,0
100779,0
100780,0
100781,0
100784,1
100788,0
100789,0
100793,0
100794,0
100795,0
100798,0
100799,0
100801,0
100802,0
100803,0
100804,0
100805,0
100806,0
100807,0
100810,0
100811,0
100812,0
100814,0
100816,1
100817,0
100819,0
100820,0
100822,0
100831,0
100832,0
100833,0
100834,0
100835,0
100837,0
100838,0
100839,1
100842,0
100844,0
100845,0
100846,0
100848,0
100849,0
100850,0
100852,0
100853,0
100857,0
100858,0
100860,0
100861,0
100863,0
100864,0
100866,0
100867,0
100873,0
100874,0
100877,0
100879,1
100880,0
100882,0
100883,0
100885,0
100886,0
100887,0
100888,0
100889,0
100890,0
100891,0
100892,0
100893,0
100894,0
100895,0
100899,0
100900,0
100901,0
100905,0
100906,0
100908,0
100909,0
100911,0
100915,0
100917,0
100920,0
100923,0
100924,0
100925,0
100927,0
100928,0
100929,0
100930,0
100932,0
100933,0
100934,0
100935,0
100937,0
100938,0
100939,0
100940,0
100941,0
100942,0
100943,0
100944,0
100945,1
100947,0
100950,0
100951,0
100954,0
100956,0
100957,0
100958,0
100959,0
100960,0
100961,0
100962,0
100963,1
100967,0
100969,0
100973,0
100974,0
100976,0
100978,0
100979,0
100981,0
100985,0
100988,0
100989,0
100990,0
100992,1
100993,0
100999,0
101000,0
101001,0
101003,0
101004,0
101006,0
101007,0
101010,0
101011,0
101013,0
101014,0
101015,0
101016,0
101017,0
101019,0
101022,0
101028,0
101029,0
101030,0
101033,0
101034,0
101035,0
101036,0
101037,0
101038,0
101040,0
101042,1
101044,0
101045,0
101047,0
101048,0
101052,0
101053,0
101058,0
101060,0
101061,0
101063,1
101065,0
101069,0
101070,0
101071,0
101072,0
101073,1
101074,0
101076,1
101077,0
101080,0
101081,0
101082,0
101084,0
101085,0
101089,0
101091,0
101093,1
101094,0
101096,1
101103,0
101106,0
101108,0
101109,0
101111,0
101113,0
101115,0
101117,0
101119,0
101121,1
101122,0
101123,0
101124,0
101127,1
101129,0
101130,0
101131,0
101132,0
101134,0
101135,0
101137,0
101138,0
101141,0
101142,1
101143,0
101146,0
101148,0
101150,0
101151,0
101152,0
101154,0
101157,0
101159,0
101161,0
101162,0
101163,0
101165,1
101166,0
101171,0
101172,0
101174,0
101175,0
101176,0
101178,0
101180,0
101184,0
101187,0
101188,0
101191,0
101192,0
101197,1
101199,0
101202,0
101205,0
101207,0
101210,0
101212,0
101215,0
101217,0
101219,0
101220,0
101221,0
101224,0
101226,0
101228,0
101229,0
101230,0
101231,1
101233,0
101236,0
101238,0
101239,0
101240,0
101245,1
101246,0
101248,0
101250,0
101252,0
101253,0
101254,0
101255,0
101257,0
101260,0
101261,0
101262,0
101264,0
101266,0
101267,0
101270,0
101273,0
101275,0
101276,0
101278,0
101280,0
101283,0
101288,0
101289,0
101290,0
101295,0
101298,0
101302,0
101304,0
101306,0
101310,0
101311,0
101312,0
101313,0
101315,0
101316,0
101317,0
101319,0
101322,0
101325,0
101330,1
101331,0
101335,0
101338,0
101339,0
101341,0
101344,0
101352,0
101357,0
101360,1
101364,0
101370,0
101371,0
101372,0
101373,1
101376,0
101377,0
101381,0
101382,1
101388,0
101389,0
101390,0
101391,0
101392,0
101395,0
101397,0
101400,0
101404,0
101405,0
101406,1
101407,0
101411,0
101413,0
101414,0
101415,0
101417,0
101418,0
101419,0
101420,1
101421,0
101422,0
101424,0
101425,0
101430,0
101433,0
101436,0
101438,0
101439,0
101441,0
101442,0
101444,1
101445,0
101451,0
101452,0
101455,0
101457,0
101458,1
101459,0
101464,0
101466,0
101468,0
101470,0
101471,0
101475,0
101476,0
101477,0
101479,0
101480,0
101481,0
101483,0
101486,0
101487,0
101488,0
101490,0
101492,0
101493,0
101494,0
101496,0
101499,0
101503,0
101506,0
101508,0
101510,0
101511,0
101514,0
101516,1
101517,0
101518,0
101520,0
101521,0
101522,0
101525,0
101526,0
101527,0
101529,0
101530,0
101531,1
101532,0
101533,0
101535,0
101536,0
101537,0
101538,1
101540,0
101541,1
101542,0
101545,0
101549,0
101550,0
101552,0
101553,0
101554,0
101556,0
101559,1
101560,0
101562,0
101563,0
101564,1
101566,0
101567,0
101569,0
101571,0
