SK_ID_CURR,TARGET
100009,0
100011,0
100014,0
100019,0
100029,0
100031,1
100039,0
100047,1
100058,0
100063,0
100072,0
100094,0
100095,0
100096,1
100105,0
100118,0
100119,0
100120,0
100144,0
100146,0
100154,0
100155,0
100160,1
100182,0
100199,0
100202,0
100205,0
100210,0
100229,0
100237,0
100238,0
100251,0
100257,0
100269,0
100286,1
100295,1
100296,0
100297,0
100308,0
100309,0
100342,0
100344,0
100345,0
100346,0
100372,0
100383,0
100390,0
100392,0
100400,0
100413,0
100434,0
100442,0
100467,0
100480,0
100489,0
100503,0
100506,0
100513,0
100515,0
100525,0
100546,0
100549,0
100554,0
100560,0
100563,0
100567,1
100588,0
100597,0
100601,0
100606,0
100611,0
100619,0
100620,0
100630,0
100648,0
100659,0
100661,0
100663,0
100671,0
100679,0
100682,0
100712,0
100718,0
100746,0
100761,0
100771,0
100785,0
100787,0
100790,0
100808,1
100813,0
100824,0
100827,0
100829,0
100840,1
100847,0
100851,0
100856,0
100859,0
100862,0
100870,0
100871,0
100902,1
100904,0
100907,0
100912,0
100914,0
100919,0
100921,0
100949,0
100964,0
100972,0
100991,0
100995,0
101018,0
101023,0
101032,0
101039,0
101050,0
101054,0
101101,0
101102,0
101105,0
101110,0
101120,0
101133,0
101139,0
101167,0
101182,0
101183,0
101189,0
101196,0
101206,0
101209,0
101214,0
101216,0
101222,0
101232,0
101241,0
101242,0
101249,0
101251,0
101272,0
101285,0
101286,1
101291,1
101300,1
101320,0
101321,0
101326,0
101336,0
101340,1
101342,0
101350,0
101351,0
101359,0
101369,0
101375,0
101379,0
101387,0
101393,0
101402,0
101446,0
101447,0
101450,0
101453,0
101454,0
101456,0
101461,0
101463,0
101484,1
101485,0
101489,0
101495,1
101498,0
101500,0
101507,0
101524,0
101528,0
101539,0
101543,0
101546,0
101557,0
101561,0
101579,0
101581,0
101582,0
101595,0
101600,0
101606,0
101611,0
101624,0
101626,0
101635,0
101645,0
101647,0
101651,0
101660,0
101662,0
101663,0
101676,0
101683,0
101685,0
101692,0
101693,0
101702,0
101712,0
101718,0
101722,0
101730,1
101750,0
101761,0
101765,0
101767,0
101778,0
101783,0
101786,0
101793,0
101795,0
101802,0
101811,0
101817,0
101821,0
101842,1
101849,0
101861,0
101862,0
101874,1
101885,0
101888,0
101898,0
101899,0
101917,0
101932,0
101943,0
101945,0
101949,0
101951,0
101955,0
101984,0
101994,0
102003,1
102013,0
102016,0
102018,0
102020,1
102025,1
102043,0
102050,0
102057,0
102059,0
102064,0
102076,0
102086,0
102088,0
102091,0
102103,0
102110,0
102116,0
102138,0
102156,0
102157,0
102163,0
102172,0
102176,0
102187,0
102192,0
102196,0
102199,0
102220,0
102226,0
102233,0
102234,0
102241,0
102246,0
102271,0
102277,0
102289,0
102291,0
102297,0
102304,0
102305,0
102318,0
102327,0
102335,0
102343,0
102350,0
102365,0
102368,0
102377,0
102378,0
102384,0
102385,0
102388,0
102389,0
102396,0
102408,0
102410,0
102422,0
102432,0
102437,0
102446,0
102451,1
102455,0
102484,0
102496,0
102508,0
102510,0
102511,0
102521,1
102538,0
102548,0
