file,column,dtype_first_chunk,rows,missing_count,missing_pct
previous_application.csv,RATE_INTEREST_PRIMARY,float64,1670214,1664263,99.6436983524267
previous_application.csv,RATE_INTEREST_PRIVILEGED,float64,1670214,1664263,99.6436983524267
bureau.csv,AMT_ANNUITY,float64,1716428,1226791,71.4734902949614
application_train.csv,COMMONAREA_AVG,float64,307511,214865,69.87229725115525
application_train.csv,COMMONAREA_MODE,float64,307511,214865,69.87229725115525
application_train.csv,COMMONAREA_MEDI,float64,307511,214865,69.87229725115525
application_train.csv,NONLIVINGAPARTMENTS_MODE,float64,307511,213514,69.43296337366793
application_train.csv,NONLIVINGAPARTMENTS_MEDI,float64,307511,213514,69.43296337366793
application_train.csv,NONLIVINGAPARTMENTS_AVG,float64,307511,213514,69.43296337366793
application_test.csv,COMMONAREA_AVG,float64,48744,33495,68.71614967996061
application_test.csv,COMMONAREA_MEDI,float64,48744,33495,68.71614967996061
application_test.csv,COMMONAREA_MODE,float64,48744,33495,68.71614967996061
application_test.csv,NONLIVINGAPARTMENTS_MODE,float64,48744,33347,68.41252256688003
application_test.csv,NONLIVINGAPARTMENTS_AVG,float64,48744,33347,68.41252256688003
application_test.csv,NONLIVINGAPARTMENTS_MEDI,float64,48744,33347,68.41252256688003
application_train.csv,FONDKAPREMONT_MODE,str,307511,210295,68.38617155158677
application_train.csv,LIVINGAPARTMENTS_MODE,float64,307511,210199,68.35495315614726
application_train.csv,LIVINGAPARTMENTS_AVG,float64,307511,210199,68.35495315614726
application_train.csv,LIVINGAPARTMENTS_MEDI,float64,307511,210199,68.35495315614726
application_train.csv,FLOORSMIN_AVG,float64,307511,208642,67.84862980511267
application_train.csv,FLOORSMIN_MEDI,float64,307511,208642,67.84862980511267
application_train.csv,FLOORSMIN_MODE,float64,307511,208642,67.84862980511267
application_test.csv,FONDKAPREMONT_MODE,str,48744,32797,67.28417856556705
application_test.csv,LIVINGAPARTMENTS_AVG,float64,48744,32780,67.24930247825374
application_test.csv,LIVINGAPARTMENTS_MODE,float64,48744,32780,67.24930247825374
application_test.csv,LIVINGAPARTMENTS_MEDI,float64,48744,32780,67.24930247825374
application_test.csv,FLOORSMIN_AVG,float64,48744,32466,66.60512063023141
application_test.csv,FLOORSMIN_MEDI,float64,48744,32466,66.60512063023141
application_test.csv,FLOORSMIN_MODE,float64,48744,32466,66.60512063023141
application_train.csv,YEARS_BUILD_AVG,float64,307511,204488,66.49778381911543
