SK_ID_CURR,TARGET,CODE_GENDER,DAYS_EMPLOYED_ANOM,AGE_YEARS,EMPLOYED_YEARS,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,GOODS_CREDIT_RATIO
100002,1,M,0,25.90280629705681,1.7440109514031485,2.007888888888889,0.12197777777777778,0.8632615793259919
100003,0,F,0,45.90006844626968,3.252566735112936,4.79075,0.13221666666666668,0.8732105272312964
100004,0,M,0,52.145106091718,0.6160164271047228,2.0,0.1,1.0
100006,0,F,0,52.03285420944559,8.320328542094456,2.3161666666666667,0.2199,0.9498452903504353
100007,0,M,0,54.57084188911704,8.317590691307323,4.222222222222222,0.17996296296296296,1.0
100008,0,M,0,46.38193018480493,4.347707049965777,4.9545,0.27795454545454545,0.9266140056330792
100009,0,F,0,37.72210814510609,8.569472963723477,9.127052631578948,0.24152631578947367,0.8938148015731141
100010,0,M,0,51.60848733744011,1.2292950034223136,4.25,0.116875,1.0
100011,0,F,1,55.0280629705681,,9.0632,0.30068,0.8959307970694678
100012,0,M,0,39.61396303901437,5.5277207392197125,3.0,0.15,1.0
100014,0,F,0,27.917864476386036,1.8590006844626967,5.8,0.18824,1.0
100015,0,F,1,55.898699520876114,,3.861745527719181,0.2779472895746926,0.9099181073703366
100016,0,F,0,36.79397672826831,7.438740588637919,1.198,0.08713333333333333,0.8347245409015025
100017,0,M,0,38.56536618754278,8.290212183436003,4.08208,0.12874,0.7594167679222357
100018,0,F,0,39.92607802874743,0.5557837097878165,4.093547619047619,0.17342857142857143,0.8782695182313629
100019,0,M,0,23.89596167008898,3.167693360711841,1.9033142857142857,0.128,0.8256274768824307
100020,0,M,0,35.403148528405204,3.6057494866529773,4.718541666666667,0.242125,0.7594154267296569
100021,0,F,0,26.765229295003422,0.5229295003422314,3.3333333333333335,0.16666666666666666,1.0
100022,0,F,0,48.50924024640657,21.366187542778917,1.4,0.07,1.0
100023,0,F,0,31.069130732375086,5.579739904175223,6.0499,0.19515,0.8347245409015025
100024,0,M,0,49.97125256673511,11.734428473648187,3.1666666666666665,0.15833333333333333,1.0
100025,0,F,0,40.56125941136208,4.522929500342231,5.592955555555555,0.1854888888888889,0.818489925819384
100026,0,F,0,30.5160848733744,11.789185489390828,1.1056,0.07227,0.9044862518089725
100027,0,F,1,67.97262149212868,,2.881081081081081,0.2864864864864865,0.9380863039399625
100029,0,M,0,30.899383983572896,2.0424366872005475,1.8333333333333333,0.0941,1.0
100030,0,F,0,52.93360711841205,9.566050650239562,2.5,0.12305,1.0
100031,1,F,0,51.26351813826147,7.195071868583162,8.71104,0.24068,0.7163323782234957
100032,0,M,0,43.663244353182755,3.378507871321013,2.90688,0.2118,0.8256274768824307
100033,0,M,0,27.362080766598222,4.917180013689254,2.929,0.21361666666666668,0.8535336292249914
100034,0,M,0,28.31211498973306,2.7652292950034223,2.0,0.1,1.0
