feature,count,missing,missing_pct,n_unique,mean,std,min,p1,p5,q1_p25,p25,q2_p50_median,p50,median,q3_p75,p75,p95,p99,max,range,iqr_q3_minus_q1,skewness,kurtosis,outlier_count_iqr,outlier_pct_iqr,distribution_shape
CNT_CHILDREN,307511,0,0.0,15,0.4170517477423572,0.7221213844376252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,19.0,19.0,1.0,1.9746,7.9041,4272,1.389,lệch phải mạnh
AMT_INCOME_TOTAL,307511,0,0.0,2548,168797.9192969845,237123.1462788562,25650.0,45000.0,67500.0,112500.0,112500.0,147150.0,147150.0,147150.0,202500.0,202500.0,337500.0,472500.0,117000000.0,116974350.0,90000.0,391.5597,191786.5544,14035,4.564,lệch phải mạnh
AMT_CREDIT,307511,0,0.0,5603,599025.9997057016,402490.7769958549,45000.0,76410.0,135000.0,270000.0,270000.0,513531.0,513531.0,513531.0,808650.0,808650.0,1350000.0,1854000.0,4050000.0,4005000.0,538650.0,1.2348,1.934,6562,2.134,lệch phải mạnh
REGION_POPULATION_RELATIVE,307511,0,0.0,81,0.02086811205778,0.0138312801227047,0.00029,0.002134,0.00496,0.010006,0.010006,0.01885,0.01885,0.01885,0.028663,0.028663,0.04622,0.072508,0.072508,0.072218,0.018657,1.488,3.2601,8412,2.736,lệch phải mạnh
DAYS_BIRTH,307511,0,0.0,17460,-16036.995066843136,4363.98863178556,-25229.0,-24419.0,-23204.0,-19682.0,-19682.0,-15750.0,-15750.0,-15750.0,-12413.0,-12413.0,-9407.0,-8263.0,-7489.0,17740.0,7269.0,-0.1157,-1.0491,0,0.0,gần đối xứng
REGION_RATING_CLIENT_W_CITY,307511,0,0.0,3,2.031520823645333,0.5027370329147687,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0597,0.9336,78027,25.374,gần đối xứng
DAYS_ID_PUBLISH,307511,0,0.0,6168,-2994.2023732484367,1509.4504190030232,-7197.0,-5447.0,-4944.0,-4299.0,-4299.0,-3254.0,-3254.0,-3254.0,-1720.0,-1720.0,-375.0,-61.0,0.0,7197.0,2579.0,0.3493,-1.1068,0,0.0,gần đối xứng
DAYS_REGISTRATION,307511,0,0.0,15688,-4986.120327538418,3522.8863209630717,-24672.0,-13879.0,-11416.0,-7479.5,-7479.5,-4504.0,-4504.0,-4504.0,-2010.0,-2010.0,-330.0,-50.0,0.0,24672.0,5469.5,-0.5909,-0.3213,659,0.214,lệch trái vừa
HOUR_APPR_PROCESS_START,307511,0,0.0,24,12.063418869568894,3.265832255437871,0.0,4.0,7.0,10.0,10.0,12.0,12.0,12.0,14.0,14.0,17.0,19.0,23.0,23.0,4.0,-0.028,-0.1942,2257,0.734,gần đối xứng
REGION_RATING_CLIENT,307511,0,0.0,3,2.05246316391934,0.50903390281568,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0875,0.8004,80527,26.187,gần đối xứng
PREV_ZERO_APPLICATION_COUNT,307511,0,0.0,42,1.0578548409650386,1.842122997891113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,59.0,59.0,1.0,3.9093,38.2138,43044,13.998,lệch phải mạnh
PREV_UNUSED_OFFER_COUNT,307511,0,0.0,11,0.0740493835992858,0.3181338338544347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,6.0502,68.9476,19033,6.189,lệch phải mạnh
PREV_REFUSED_COUNT,307511,0,0.0,46,0.7979877142606281,1.7748434435527698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,8.0,68.0,68.0,1.0,4.9973,53.0644,31021,10.088,lệch phải mạnh
PREV_CANCELED_COUNT,307511,0,0.0,39,0.8436803886690232,1.6422874640204188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,7.0,58.0,58.0,1.0,3.9142,37.0951,34591,11.249,lệch phải mạnh
PREV_APP_COUNT,307511,0,0.0,66,4.597237172003603,4.18001497155669,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,13.0,20.0,73.0,73.0,4.0,2.2399,9.9879,15426,5.016,lệch phải mạnh
PREV_APPROVED_COUNT,307511,0,0.0,26,2.881519685474666,2.177554286177138,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,7.0,10.0,27.0,27.0,3.0,1.471,3.5071,7052,2.293,lệch phải mạnh
BUREAU_OVERDUE_LOAN_COUNT,307511,0,0.0,8,0.0127410076387511,0.1251460820112791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0,13.3319,294.19,3594,1.169,lệch phải mạnh
BUREAU_CLOSED_COUNT,307511,0,0.0,54,2.9843908022802434,3.3595287181673896,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,10.0,15.0,108.0,108.0,4.0,2.1864,11.9908,11374,3.699,lệch phải mạnh
BUREAU_ACTIVE_COUNT,307511,0,0.0,23,1.762275170644302,1.804891299543025,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,8.0,32.0,32.0,3.0,1.4482,3.3824,3298,1.072,lệch phải mạnh
BUREAU_LOAN_COUNT,307511,0,0.0,61,4.765114093479583,4.496198948568977,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,13.0,20.0,116.0,116.0,6.0,1.7084,6.3949,7098,2.308,lệch phải mạnh
BUREAU_ENDDATE_FUTURE_COUNT,307511,0,0.0,28,1.669439467206051,1.8559723373217047,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,5.0,8.0,30.0,30.0,3.0,1.7191,4.9599,3936,1.28,lệch phải mạnh
BUREAU_AMT_CREDIT_SUM_SUM,307511,0,0.0,205630,1675834.1430586125,3858106.1081710095,0.0,0.0,0.0,153949.5,153949.5,711000.0,711000.0,711000.0,1970993.25,1970993.25,6428894.175,13279442.184000015,1017957917.385,1017957917.385,1817043.75,78.3351,17196.5118,26131,8.498,lệch phải mạnh
BUREAU_AMT_CREDIT_SUM_MEAN,307511,0,0.0,209581,323957.0360278919,835940.3724658655,0.0,0.0,0.0,67055.31937499999,67055.31937499999,158730.75,158730.75,158730.75,344459.1375,344459.1375,1116000.0,2740171.350000012,198072344.25,198072344.25,277403.818125,70.5032,13361.5201,27326,8.886,lệch phải mạnh
