feature,count,missing,missing_pct,n_unique,n_zeros,zero_pct,mean,standard_error_excel,std,mode_excel,sample_variance_excel,min,p1,p5,q1,p25,q2_median,p50,q3,p75,p95,p99,max,range,iqr,sum_excel,confidence_level_95_excel,skewness,kurtosis,outlier_count_iqr,outlier_pct_iqr,distribution_shape,cv,q1_25,median_50,q3_75,mean_excel,median_excel,std_excel,minimum_excel,maximum_excel,range_excel,skewness_excel,kurtosis_excel,count_excel
CNT_CHILDREN,307511,0,0.0,15,215371,70.037,0.4170517477423572,0.0013022065584917,0.7221213844376252,0.0,0.5214592938621124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,19.0,19.0,1.0,128248.0,0.0025523248546437,1.9746,7.9041,4272,1.389,lệch phải mạnh,1.7315,0.0,0.0,1.0,0.4170517477423572,0.0,0.7221213844376252,0.0,19.0,19.0,1.974604469694792,7.904106358518466,307511.0
AMT_INCOME_TOTAL,307511,0,0.0,2548,0,0.0,168797.9192969845,427.6058331868797,237123.1462788562,135000.0,56227386501.18384,25650.0,45000.0,67500.0,112500.0,112500.0,147150.0,147150.0,202500.0,202500.0,337500.0,472500.0,117000000.0,116974350.0,90000.0,51907216960.935,838.1074330462841,391.5597,191786.5544,14035,4.564,lệch phải mạnh,1.4048,112500.0,147150.0,202500.0,168797.9192969845,147150.0,237123.1462788562,25650.0,117000000.0,116974350.0,391.55965410418776,191786.55438080415,307511.0
AMT_CREDIT,307511,0,0.0,5603,0,0.0,599025.9997057016,725.8144417708984,402490.7769958549,450000.0,161998825566.72702,45000.0,76410.0,135000.0,270000.0,270000.0,513531.0,513531.0,808650.0,808650.0,1350000.0,1854000.0,4050000.0,4005000.0,538650.0,184207084195.5,1422.5963058709608,1.2348,1.934,6562,2.134,lệch phải mạnh,0.6719,270000.0,513531.0,808650.0,599025.9997057016,513531.0,402490.7769958549,45000.0,4050000.0,4005000.0,1.2347784971349396,1.934041300832492,307511.0
REGION_POPULATION_RELATIVE,307511,0,0.0,81,0,0.0,0.02086811205778,2.494204447656504e-05,0.0138312801227047,0.035792,0.0001913043098327,0.00029,0.002134,0.00496,0.010006,0.010006,0.01885,0.01885,0.028663,0.028663,0.04622,0.072508,0.072508,0.072218,0.018657,6417.174007,4.888640717406747e-05,1.488,3.2601,8412,2.736,lệch phải mạnh,0.6628,0.010006,0.01885,0.028663,0.02086811205778,0.01885,0.0138312801227046,0.00029,0.072508,0.072218,1.488008520707767,3.260065334311051,307511.0
DAYS_BIRTH,307511,0,0.0,17460,0,0.0,-16036.995066843136,7.869611314613063,4363.98863178556,-13749.0,19044396.7783536,-25229.0,-24419.0,-23204.0,-19682.0,-19682.0,-15750.0,-15750.0,-12413.0,-12413.0,-9407.0,-8263.0,-7489.0,17740.0,7269.0,-4931552390.0,15.424438176641605,-0.1157,-1.0491,0,0.0,gần đối xứng,-0.2721,-19682.0,-15750.0,-12413.0,-16036.995066843136,-15750.0,4363.98863178556,-25229.0,-7489.0,17740.0,-0.1156733117016613,-1.0491257699460343,307511.0
REGION_RATING_CLIENT_W_CITY,307511,0,0.0,3,0,0.0,2.031520823645333,0.0009065892183321,0.5027370329147687,2.0,0.2527445242639451,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,624715.0,0.0017769148679311,0.0597,0.9336,78027,25.374,gần đối xứng,0.2475,2.0,2.0,2.0,2.031520823645333,2.0,0.5027370329147687,1.0,3.0,2.0,0.0597298121494672,0.9335838303405776,307511.0
DAYS_ID_PUBLISH,307511,0,0.0,6168,16,0.005,-2994.2023732484367,2.722002529913402,1509.4504190030232,-4053.0,2278440.567428402,-7197.0,-5447.0,-4944.0,-4299.0,-4299.0,-3254.0,-3254.0,-1720.0,-1720.0,-375.0,-61.0,0.0,7197.0,2579.0,-920750166.0,5.335124958630267,0.3493,-1.1068,0,0.0,gần đối xứng,-0.5041,-4299.0,-3254.0,-1720.0,-2994.2023732484367,-3254.0,1509.4504190030232,-7197.0,0.0,7197.0,0.3493274932029978,-1.1068078939970984,307511.0
DAYS_REGISTRATION,307511,0,0.0,15688,80,0.026,-4986.120327538418,6.352845616881363,3522.8863209630717,-1.0,12410728.030439846,-24672.0,-13879.0,-11416.0,-7479.5,-7479.5,-4504.0,-4504.0,-2010.0,-2010.0,-330.0,-50.0,0.0,24672.0,5469.5,-1533286848.042,12.451577409087472,-0.5909,-0.3213,659,0.214,lệch trái vừa,-0.7065,-7479.5,-4504.0,-2010.0,-4986.120327539503,-4504.0,3522.8863209646497,-24672.0,0.0,24672.0,-0.5908716157352429,-0.3213466019416624,307511.0
HOUR_APPR_PROCESS_START,307511,0,0.0,24,40,0.013,12.063418869568894,0.0058892982171923,3.265832255437871,10.0,10.66566032065841,0.0,4.0,7.0,10.0,10.0,12.0,12.0,14.0,14.0,17.0,19.0,23.0,23.0,4.0,3709634.0,0.0115430245056969,-0.028,-0.1942,2257,0.734,gần đối xứng,0.2707,10.0,12.0,14.0,12.063418869568894,12.0,3.265832255437871,0.0,23.0,23.0,-0.0280244594606751,-0.1941728655304189,307511.0
REGION_RATING_CLIENT,307511,0,0.0,3,0,0.0,2.05246316391934,0.0009179444079992,0.50903390281568,2.0,0.259115514215763,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,631155.0,0.0017991710396785,0.0875,0.8004,80527,26.187,gần đối xứng,0.248,2.0,2.0,2.0,2.05246316391934,2.0,0.50903390281568,1.0,3.0,2.0,0.0874683497093234,0.800416437469937,307511.0
