feature,n_valid,missing_pct,mean_non_default,mean_default,mean_diff_default_minus_nondefault,point_biserial_corr,point_biserial_p_value,ks_statistic,ks_p_value
CC_UTILIZATION_MEAN,86036,0.7202181385381337,0.3134182294776978,0.47044438205101,0.1570261525733122,0.1355596589987754,0.0,0.20123881520304204,1.7702860490809016e-241
APP_AGE_YEARS,307511,0.0,44.18391895176787,40.752438265669404,-3.4314806860984675,-0.07823930830982695,0.0,0.1218739324240628,7.355860149693706e-296
INST_LATE_PAYMENT_RATE,291643,0.051601406128561234,0.07336612328768527,0.1029974191667573,0.029631295879072025,0.07001483844481345,1.3084481516e-313,0.10943635435108467,4.24275964640874e-229
PREV_REFUSAL_RATE,291057,0.05350702901684823,0.1066243114299259,0.15883403040474375,0.052209718974817854,0.07767144969646056,0.0,0.10524424715432612,1.387587718174537e-211
BUREAU_DEBT_TO_CREDIT_SUM_RATIO,307511,0.0,0.23504819154617854,0.30733246310389545,0.07228427155771691,0.04593021731510921,3.0164111487751605e-143,0.10476739695146686,1.4715092412277551e-218
AMT_GOODS_PRICE,307233,0.0009040327012692639,542736.7950033459,488972.4125544267,-53764.382448919234,-0.039645281169544355,4.1537571296969373e-107,0.09423947416847211,1.0953224391263644e-176
INST_UNDERPAYMENT_RATE,291643,0.051601406128561234,0.0811787404212449,0.11543211818808347,0.034253377766838566,0.06261195970540702,4.1536831828056e-251,0.0938452341408238,1.8149716117051928e-168
INST_PAYMENT_RATIO_MEAN,291632,0.05163717720666905,1.3706689086097938,1.5209822707894887,0.15031336217969482,0.0013655289446478406,0.46086498743597837,0.09338190838700411,8.409131032996454e-167
AMT_CREDIT,307511,0.0,602648.2820019386,557778.527673716,-44869.754328222596,-0.030369286461429747,1.147460272478781e-63,0.06946834587405204,3.3160270299395642e-96
BUREAU_ACTIVE_COUNT,307511,0.0,1.7389718627735367,2.027633434038268,0.28866157126473113,0.0435687148110168,4.401979725841721e-129,0.05723590329878181,2.002812454426936e-65
POS_DPD_MONTH_RATE,289444,0.05875236983392462,0.020912005611777633,0.029850507324191623,0.00893850171241399,0.03061628645611055,5.5165748314739465e-61,0.05115291192701843,9.012746213249002e-50
BUREAU_LOAN_COUNT,307511,0.0,4.778464444648833,4.613091641490433,-0.16537280315839986,-0.010019715670684099,2.753679737212149e-08,0.04773111731890822,1.2733028996143038e-45
AMT_ANNUITY,307499,3.902299429936473e-05,27163.62334880463,26481.744290030212,-681.8790587744188,-0.012816561515413619,1.1826767821325295e-12,0.03816542495359798,2.5590838931704257e-29
APP_ANNUITY_INCOME_RATIO,307499,3.902299429936473e-05,0.18053020399477598,0.18548247930508546,0.0049522753103094785,0.014265220698054651,2.5572981532856478e-15,0.03654664619549963,6.417213995583162e-27
APP_CREDIT_INCOME_RATIO,307511,0.0,3.963729088910814,3.8874384793176757,-0.07629060959313838,-0.007726797322294054,1.8287110527942585e-05,0.026929609264953802,8.241630323826863e-15
