feature,level,n,default_customers,default_rate,cramers_v_feature,chi_square_p_value_feature
OCCUPATION_TYPE,Low-skill Laborers,2093,359,0.17152412804586717,0.0801423956498659,0.0
OCCUPATION_TYPE,Drivers,18603,2107,0.11326130194054722,0.0801423956498659,0.0
OCCUPATION_TYPE,Waiters/barmen staff,1348,152,0.11275964391691394,0.0801423956498659,0.0
OCCUPATION_TYPE,Security staff,6721,722,0.10742449040321381,0.0801423956498659,0.0
OCCUPATION_TYPE,Laborers,55186,5838,0.10578769977892943,0.0801423956498659,0.0
OCCUPATION_TYPE,Cooking staff,5946,621,0.10443995963673057,0.0801423956498659,0.0
OCCUPATION_TYPE,Sales staff,32102,3092,0.0963179864182917,0.0801423956498659,0.0
OCCUPATION_TYPE,Cleaning staff,4653,447,0.09606705351386202,0.0801423956498659,0.0
OCCUPATION_TYPE,Realty agents,751,59,0.07856191744340879,0.0801423956498659,0.0
OCCUPATION_TYPE,Secretaries,1305,92,0.07049808429118774,0.0801423956498659,0.0
OCCUPATION_TYPE,Medicine staff,8537,572,0.06700245988052009,0.0801423956498659,0.0
OCCUPATION_TYPE,Private service staff,2652,175,0.06598793363499246,0.0801423956498659,0.0
OCCUPATION_TYPE,Missing,96391,6278,0.06513056198192778,0.0801423956498659,0.0
OCCUPATION_TYPE,IT staff,526,34,0.06463878326996197,0.0801423956498659,0.0
OCCUPATION_TYPE,HR staff,563,36,0.06394316163410302,0.0801423956498659,0.0
OCCUPATION_TYPE,Core staff,27570,1738,0.06303953572723975,0.0801423956498659,0.0
OCCUPATION_TYPE,Managers,21371,1328,0.06214028356183613,0.0801423956498659,0.0
OCCUPATION_TYPE,High skill tech staff,11380,701,0.06159929701230228,0.0801423956498659,0.0
OCCUPATION_TYPE,Accountants,9813,474,0.04830327117089575,0.0801423956498659,0.0
ORGANIZATION_TYPE,Transport: type 3,1187,187,0.15754001684919966,0.07167041518766441,6.009743526915104e-305
ORGANIZATION_TYPE,Restaurant,1811,212,0.11706239646604086,0.07167041518766441,6.009743526915104e-305
